application_id,student_id,company,recruiter,stage,placed,offer_value
APP20049,S10096,LogicLoop,Recruiter F,Interview,False,
APP20050,S10099,InnoWorks,Recruiter C,Rejected,False,
APP20051,S10100,SecureStack,Recruiter E,Rejected,False,
APP20052,S10102,TechNova,Recruiter E,Rejected,False,
APP20053,S10103,SecureStack,Recruiter G,Interview,False,
APP20054,S10104,CloudSprint,Recruiter C,Interview,False,
APP20055,S10107,MarketMint,Recruiter B,Submitted,False,
APP20056,S10108,CloudSprint,Recruiter D,Screening,False,
APP20057,S10109,BuildRight,Recruiter D,Interview,False,
APP20058,S10110,SecureStack,Recruiter G,Interview,False,
APP20059,S10111,SecureStack,Recruiter G,Submitted,False,
APP20060,S10112,FinEdge,Recruiter F,Interview,False,
APP20061,S10113,RetailPulse,Recruiter B,Screening,False,
APP20062,S10115,MarketMint,Recruiter H,Rejected,False,
APP20063,S10118,CloudSprint,Recruiter B,Interview,False,
APP20064,S10119,InnoWorks,Recruiter G,Submitted,False,
APP20065,S10123,HealthByte,Recruiter G,Offer,True,9.185633841949873
APP20066,S10129,FinEdge,Recruiter H,Rejected,False,
APP20067,S10130,FinEdge,Recruiter E,Rejected,False,
APP20068,S10131,NextGen Systems,Recruiter E,Screening,False,
APP20069,S10132,RetailPulse,Recruiter F,Interview,False,
APP20070,S10133,MarketMint,Recruiter C,Interview,False,
APP20071,S10136,MarketMint,Recruiter E,Submitted,False,
APP20072,S10137,DataForge,Recruiter H,Interview,False,
APP20073,S10139,RetailPulse,Recruiter C,Screening,False,
APP20074,S10140,InnoWorks,Recruiter B,Rejected,False,
APP20075,S10144,MarketMint,Recruiter B,Rejected,False,
APP20076,S10145,BuildRight,Recruiter D,Rejected,False,
APP20077,S10147,BuildRight,Recruiter G,Submitted,False,
APP20078,S10148,RetailPulse,Recruiter F,Rejected,False,
APP20079,S10149,RetailPulse,Recruiter A,Offer,False,7.346764215962336
APP20080,S10152,InnoWorks,Recruiter E,Offer,False,3.2
APP20081,S10154,TechNova,Recruiter E,Screening,False,
APP20082,S10155,LogicLoop,Recruiter A,Interview,False,
APP20083,S10156,DataForge,Recruiter E,Rejected,False,
APP20084,S10157,HealthByte,Recruiter F,Submitted,False,
APP20085,S10159,MarketMint,Recruiter F,Rejected,False,
APP20086,S10160,BuildRight,Recruiter A,Screening,False,
APP20087,S10162,HealthByte,Recruiter H,Rejected,False,
APP20088,S10163,RetailPulse,Recruiter D,Submitted,False,
APP20089,S10164,DataForge,Recruiter E,Submitted,False,
APP20090,S10167,HealthByte,Recruiter B,Screening,False,
APP20091,S10168,SecureStack,Recruiter H,Screening,False,
APP20092,S10169,SecureStack,Recruiter A,Offer,False,6.365880771023671
APP20093,S10172,BuildRight,Recruiter G,Interview,False,
APP20094,S10173,RetailPulse,Recruiter D,Rejected,False,
APP20095,S10175,DataForge,Recruiter A,Screening,False,
APP20096,S10179,MarketMint,Recruiter E,Rejected,False,
APP20097,S10181,RetailPulse,Recruiter C,Screening,False,
APP20098,S10185,MarketMint,Recruiter E,Submitted,False,
APP20099,S10186,RetailPulse,Recruiter F,Screening,False,
APP20100,S10187,InnoWorks,Recruiter H,Rejected,False,
APP20101,S10188,CloudSprint,Recruiter D,Rejected,False,
APP20102,S10189,HealthByte,Recruiter A,Submitted,False,
APP20103,S10190,FinEdge,Recruiter D,Interview,False,
APP20104,S10191,CloudSprint,Recruiter C,Rejected,False,
APP20105,S10196,CloudSprint,Recruiter A,Submitted,False,
APP20106,S10197,InnoWorks,Recruiter B,Offer,False,7.861372237093101
APP20107,S10198,BuildRight,Recruiter A,Submitted,False,
APP20108,S10203,LogicLoop,Recruiter E,Offer,True,8.065954505598043
APP20109,S10205,FinEdge,Recruiter G,Rejected,False,
APP20110,S10208,InnoWorks,Recruiter C,Offer,False,9.387086668949532
APP20111,S10210,LogicLoop,Recruiter A,Rejected,False,
APP20112,S10211,LogicLoop,Recruiter E,Submitted,False,
APP20113,S10212,MarketMint,Recruiter D,Submitted,False,
APP20114,S10214,LogicLoop,Recruiter F,Interview,False,
APP20115,S10215,NextGen Systems,Recruiter D,Interview,False,
APP20116,S10217,FinEdge,Recruiter D,Screening,False,
APP20117,S10220,BuildRight,Recruiter D,Interview,False,
APP20118,S10221,RetailPulse,Recruiter H,Rejected,False,
APP20119,S10223,TechNova,Recruiter A,Submitted,False,
APP20120,S10224,NextGen Systems,Recruiter B,Rejected,False,
APP20121,S10226,InnoWorks,Recruiter B,Submitted,False,
APP20122,S10227,TechNova,Recruiter G,Interview,False,
APP20123,S10228,CloudSprint,Recruiter B,Rejected,False,
APP20124,S10230,NextGen Systems,Recruiter G,Interview,False,
APP20125,S10237,RetailPulse,Recruiter H,Submitted,False,
APP20126,S10238,SecureStack,Recruiter H,Screening,False,
APP20127,S10240,SecureStack,Recruiter C,Screening,False,
APP20128,S10241,DataForge,Recruiter G,Screening,False,
APP20129,S10242,TechNova,Recruiter E,Rejected,False,
APP20130,S10243,MarketMint,Recruiter G,Rejected,False,
APP20131,S10244,HealthByte,Recruiter A,Screening,False,
APP20132,S10245,TechNova,Recruiter F,Interview,False,
APP20133,S10247,CloudSprint,Recruiter H,Screening,False,
APP20134,S10248,TechNova,Recruiter E,Rejected,False,
APP20135,S10249,CloudSprint,Recruiter F,Submitted,False,
APP20136,S10252,TechNova,Recruiter G,Screening,False,
APP20137,S10255,SecureStack,Recruiter F,Screening,False,
APP20138,S10256,MarketMint,Recruiter B,Screening,False,
APP20139,S10257,InnoWorks,Recruiter A,Rejected,False,
APP20140,S10258,FinEdge,Recruiter C,Submitted,False,
APP20141,S10263,NextGen Systems,Recruiter H,Screening,False,
APP20142,S10264,DataForge,Recruiter C,Submitted,False,
APP20143,S10266,TechNova,Recruiter A,Rejected,False,
APP20144,S10271,BuildRight,Recruiter F,Interview,False,
APP20145,S10272,NextGen Systems,Recruiter A,Screening,False,
APP20146,S10273,HealthByte,Recruiter E,Interview,False,
APP20147,S10274,SecureStack,Recruiter G,Offer,False,7.209855493993777
APP20148,S10275,CloudSprint,Recruiter B,Interview,False,
APP20149,S10276,RetailPulse,Recruiter D,Screening,False,
APP20150,S10277,BuildRight,Recruiter G,Screening,False,
APP20151,S10278,MarketMint,Recruiter B,Submitted,False,
APP20152,S10280,InnoWorks,Recruiter A,Interview,False,
APP20153,S10281,InnoWorks,Recruiter A,Submitted,False,
APP20154,S10282,MarketMint,Recruiter A,Rejected,False,
APP20155,S10283,CloudSprint,Recruiter C,Submitted,False,
APP20156,S10284,MarketMint,Recruiter C,Submitted,False,
APP20157,S10285,MarketMint,Recruiter C,Submitted,False,
APP20158,S10286,TechNova,Recruiter A,Submitted,False,
APP20159,S10287,MarketMint,Recruiter H,Submitted,False,
APP20160,S10288,DataForge,Recruiter D,Rejected,False,
APP20161,S10289,RetailPulse,Recruiter H,Rejected,False,
APP20162,S10295,CloudSprint,Recruiter A,Screening,False,
APP20163,S10299,TechNova,Recruiter G,Rejected,False,
APP20164,S10301,MarketMint,Recruiter B,Submitted,False,
APP20165,S10305,SecureStack,Recruiter C,Submitted,False,
APP20166,S10306,RetailPulse,Recruiter G,Offer,True,3.2601226138879813
APP20167,S10307,SecureStack,Recruiter G,Screening,False,
APP20168,S10309,FinEdge,Recruiter F,Submitted,False,
APP20169,S10310,BuildRight,Recruiter A,Interview,False,
APP20170,S10311,InnoWorks,Recruiter F,Screening,False,
APP20171,S10314,InnoWorks,Recruiter B,Submitted,False,
APP20172,S10316,CloudSprint,Recruiter D,Screening,False,
APP20173,S10317,DataForge,Recruiter F,Screening,False,
APP20174,S10320,InnoWorks,Recruiter D,Rejected,False,
APP20175,S10321,DataForge,Recruiter B,Submitted,False,
APP20176,S10326,FinEdge,Recruiter H,Submitted,False,
APP20177,S10329,NextGen Systems,Recruiter E,Submitted,False,
APP20178,S10330,RetailPulse,Recruiter G,Interview,False,
APP20179,S10335,MarketMint,Recruiter D,Offer,True,10.736319194114028
APP20180,S10342,HealthByte,Recruiter E,Screening,False,
APP20181,S10348,MarketMint,Recruiter C,Screening,False,
APP20182,S10349,FinEdge,Recruiter C,Screening,False,
APP20183,S10350,BuildRight,Recruiter A,Screening,False,
APP20184,S10352,FinEdge,Recruiter F,Interview,False,
APP20185,S10354,DataForge,Recruiter C,Submitted,False,
APP20186,S10357,DataForge,Recruiter F,Rejected,False,
APP20187,S10359,LogicLoop,Recruiter D,Rejected,False,
APP20188,S10363,SecureStack,Recruiter C,Rejected,False,
APP20189,S10365,BuildRight,Recruiter B,Screening,False,
APP20190,S10366,RetailPulse,Recruiter E,Rejected,False,
APP20191,S10367,LogicLoop,Recruiter D,Rejected,False,
APP20192,S10370,TechNova,Recruiter E,Submitted,False,
APP20193,S10371,TechNova,Recruiter B,Screening,False,
APP20194,S10373,RetailPulse,Recruiter F,Rejected,False,
APP20195,S10374,CloudSprint,Recruiter C,Rejected,False,
APP20196,S10375,InnoWorks,Recruiter H,Offer,True,8.76220766717495
APP20197,S10378,InnoWorks,Recruiter A,Offer,False,7.080787985079871
APP20198,S10383,SecureStack,Recruiter H,Interview,False,
APP20199,S10384,LogicLoop,Recruiter H,Screening,False,
APP20200,S10385,FinEdge,Recruiter G,Screening,False,
APP20201,S10389,SecureStack,Recruiter C,Rejected,False,
APP20202,S10390,TechNova,Recruiter C,Screening,False,
APP20203,S10391,InnoWorks,Recruiter H,Screening,False,
APP20204,S10392,DataForge,Recruiter G,Screening,False,
APP20205,S10393,SecureStack,Recruiter E,Interview,False,
APP20206,S10394,DataForge,Recruiter H,Submitted,False,
APP20207,S10396,HealthByte,Recruiter A,Submitted,False,
APP20208,S10398,InnoWorks,Recruiter F,Submitted,False,
APP20209,S10399,NextGen Systems,Recruiter F,Offer,True,11.635031818435486
APP20210,S10402,InnoWorks,Recruiter H,Rejected,False,
APP20211,S10403,InnoWorks,Recruiter E,Submitted,False,
APP20212,S10405,DataForge,Recruiter A,Submitted,False,
APP20213,S10408,CloudSprint,Recruiter F,Interview,False,
APP20214,S10410,BuildRight,Recruiter B,Interview,False,
APP20215,S10412,NextGen Systems,Recruiter E,Interview,False,
APP20216,S10413,HealthByte,Recruiter G,Rejected,False,
APP20217,S10415,CloudSprint,Recruiter G,Interview,False,
APP20218,S10417,MarketMint,Recruiter F,Screening,False,
APP20219,S10418,CloudSprint,Recruiter C,Submitted,False,
APP20220,S10420,InnoWorks,Recruiter A,Interview,False,
APP20221,S10421,DataForge,Recruiter C,Screening,False,
APP20222,S10423,LogicLoop,Recruiter A,Interview,False,
APP20223,S10424,NextGen Systems,Recruiter A,Interview,False,
APP20224,S10426,CloudSprint,Recruiter A,Submitted,False,
APP20225,S10427,FinEdge,Recruiter E,Interview,False,
APP20226,S10428,BuildRight,Recruiter G,Rejected,False,
APP20227,S10429,DataForge,Recruiter F,Screening,False,
APP20228,S10430,SecureStack,Recruiter B,Rejected,False,
APP20229,S10431,DataForge,Recruiter B,Interview,False,
APP20230,S10435,BuildRight,Recruiter F,Interview,False,
APP20231,S10440,CloudSprint,Recruiter B,Interview,False,
APP20232,S10446,HealthByte,Recruiter A,Submitted,False,
APP20233,S10447,LogicLoop,Recruiter A,Screening,False,
APP20234,S10450,DataForge,Recruiter D,Submitted,False,
APP20235,S10457,TechNova,Recruiter F,Interview,False,
APP20236,S10459,HealthByte,Recruiter G,Interview,False,
APP20237,S10462,NextGen Systems,Recruiter B,Submitted,False,
APP20238,S10464,DataForge,Recruiter D,Rejected,False,
APP20239,S10465,SecureStack,Recruiter E,Screening,False,
APP20240,S10466,NextGen Systems,Recruiter A,Screening,False,
APP20241,S10467,InnoWorks,Recruiter A,Submitted,False,
APP20242,S10468,SecureStack,Recruiter B,Rejected,False,
APP20243,S10470,HealthByte,Recruiter H,Submitted,False,
APP20244,S10473,HealthByte,Recruiter F,Submitted,False,
APP20245,S10474,DataForge,Recruiter C,Rejected,False,
APP20246,S10476,DataForge,Recruiter D,Rejected,False,
APP20247,S10477,NextGen Systems,Recruiter A,Screening,False,
APP20248,S10481,DataForge,Recruiter B,Submitted,False,
APP20249,S10482,SecureStack,Recruiter C,Rejected,False,
APP20250,S10484,SecureStack,Recruiter A,Rejected,False,
APP20251,S10486,MarketMint,Recruiter G,Rejected,False,
APP20252,S10487,TechNova,Recruiter H,Rejected,False,
APP20253,S10488,RetailPulse,Recruiter H,Submitted,False,
APP20254,S10490,SecureStack,Recruiter D,Rejected,False,
APP20255,S10493,LogicLoop,Recruiter F,Rejected,False,
APP20256,S10494,LogicLoop,Recruiter F,Screening,False,
APP20257,S10495,FinEdge,Recruiter D,Rejected,False,
APP20258,S10496,FinEdge,Recruiter B,Rejected,False,
APP20259,S10497,TechNova,Recruiter B,Screening,False,
APP20260,S10498,SecureStack,Recruiter H,Submitted,False,
APP20261,S10500,DataForge,Recruiter B,Interview,False,
APP20262,S10503,BuildRight,Recruiter A,Rejected,False,
APP20263,S10505,RetailPulse,Recruiter F,Submitted,False,
APP20264,S10506,DataForge,Recruiter C,Submitted,False,
APP20265,S10507,RetailPulse,Recruiter F,Rejected,False,
APP20266,S10511,SecureStack,Recruiter A,Rejected,False,
APP20267,S10513,HealthByte,Recruiter G,Submitted,False,
APP20268,S10514,NextGen Systems,Recruiter C,Screening,False,
APP20269,S10515,FinEdge,Recruiter A,Screening,False,
APP20270,S10516,FinEdge,Recruiter C,Submitted,False,
APP20271,S10517,SecureStack,Recruiter F,Offer,True,4.341469783360648
APP20272,S10518,TechNova,Recruiter G,Submitted,False,
APP20273,S10519,HealthByte,Recruiter E,Rejected,False,
APP20274,S10527,MarketMint,Recruiter C,Submitted,False,
APP20275,S10530,HealthByte,Recruiter D,Rejected,False,
APP20276,S10531,SecureStack,Recruiter H,Rejected,False,
APP20277,S10532,LogicLoop,Recruiter E,Rejected,False,
APP20278,S10533,TechNova,Recruiter B,Submitted,False,
APP20279,S10535,HealthByte,Recruiter B,Interview,False,
APP20280,S10538,DataForge,Recruiter B,Interview,False,
APP20281,S10539,BuildRight,Recruiter F,Screening,False,
APP20282,S10540,DataForge,Recruiter E,Submitted,False,
APP20283,S10545,NextGen Systems,Recruiter E,Interview,False,
APP20284,S10550,FinEdge,Recruiter F,Offer,False,9.949117198650395
APP20285,S10551,BuildRight,Recruiter A,Interview,False,
APP20286,S10552,InnoWorks,Recruiter B,Rejected,False,
APP20287,S10554,FinEdge,Recruiter B,Rejected,False,
APP20288,S10557,NextGen Systems,Recruiter D,Offer,False,8.603407764548646
APP20289,S10558,TechNova,Recruiter H,Interview,False,
APP20290,S10559,CloudSprint,Recruiter G,Offer,False,6.164928858273479
APP20291,S10561,TechNova,Recruiter B,Screening,False,
APP20292,S10562,MarketMint,Recruiter F,Submitted,False,
APP20293,S10563,InnoWorks,Recruiter A,Submitted,False,
APP20294,S10564,CloudSprint,Recruiter A,Submitted,False,
APP20295,S10565,SecureStack,Recruiter A,Submitted,False,
APP20296,S10566,SecureStack,Recruiter H,Offer,False,6.493515955018536
APP20297,S10568,NextGen Systems,Recruiter F,Screening,False,
APP20298,S10569,RetailPulse,Recruiter E,Rejected,False,
APP20299,S10570,HealthByte,Recruiter H,Interview,False,
APP20300,S10571,CloudSprint,Recruiter D,Rejected,False,
APP20301,S10572,RetailPulse,Recruiter A,Interview,False,
APP20302,S10574,FinEdge,Recruiter H,Submitted,False,
APP20303,S10575,LogicLoop,Recruiter G,Rejected,False,
APP20304,S10576,HealthByte,Recruiter G,Rejected,False,
APP20305,S10577,HealthByte,Recruiter D,Rejected,False,
APP20306,S10578,LogicLoop,Recruiter C,Offer,True,8.99050131783608
APP20307,S10579,FinEdge,Recruiter G,Rejected,False,
APP20308,S10580,DataForge,Recruiter D,Rejected,False,
APP20309,S10582,NextGen Systems,Recruiter E,Submitted,False,
APP20310,S10583,LogicLoop,Recruiter E,Rejected,False,
APP20311,S10586,RetailPulse,Recruiter F,Interview,False,
APP20312,S10587,SecureStack,Recruiter E,Submitted,False,
APP20313,S10588,MarketMint,Recruiter G,Submitted,False,
APP20314,S10589,NextGen Systems,Recruiter G,Rejected,False,
APP20315,S10590,MarketMint,Recruiter H,Screening,False,
APP20316,S10594,TechNova,Recruiter F,Offer,True,9.609623946741742
APP20317,S10595,TechNova,Recruiter H,Submitted,False,
APP20318,S10596,DataForge,Recruiter E,Interview,False,
APP20319,S10598,MarketMint,Recruiter H,Submitted,False,
APP20320,S10599,FinEdge,Recruiter D,Rejected,False,
APP20321,S10600,LogicLoop,Recruiter A,Rejected,False,
APP20322,S10603,DataForge,Recruiter A,Screening,False,
APP20323,S10606,SecureStack,Recruiter D,Rejected,False,
APP20324,S10607,InnoWorks,Recruiter D,Submitted,False,
APP20325,S10609,BuildRight,Recruiter D,Screening,False,
APP20326,S10610,HealthByte,Recruiter H,Screening,False,
APP20327,S10614,BuildRight,Recruiter H,Interview,False,
APP20328,S10615,LogicLoop,Recruiter G,Submitted,False,
APP20329,S10616,RetailPulse,Recruiter C,Submitted,False,
APP20330,S10617,RetailPulse,Recruiter H,Screening,False,
APP20331,S10618,FinEdge,Recruiter G,Rejected,False,
APP20332,S10620,NextGen Systems,Recruiter G,Rejected,False,
APP20333,S10624,MarketMint,Recruiter H,Offer,True,11.894426598601505
APP20334,S10625,MarketMint,Recruiter A,Screening,False,
APP20335,S10627,BuildRight,Recruiter F,Interview,False,
APP20336,S10628,LogicLoop,Recruiter D,Submitted,False,
APP20337,S10629,RetailPulse,Recruiter E,Submitted,False,
APP20338,S10631,NextGen Systems,Recruiter B,Submitted,False,
APP20339,S10632,HealthByte,Recruiter A,Submitted,False,
APP20340,S10636,BuildRight,Recruiter C,Interview,False,
APP20341,S10637,HealthByte,Recruiter A,Rejected,False,
APP20342,S10638,CloudSprint,Recruiter E,Offer,True,8.132350799738893
APP20343,S10639,BuildRight,Recruiter D,Submitted,False,
APP20344,S10641,BuildRight,Recruiter C,Screening,False,
APP20345,S10643,HealthByte,Recruiter F,Submitted,False,
APP20346,S10645,HealthByte,Recruiter A,Interview,False,
APP20347,S10646,InnoWorks,Recruiter C,Submitted,False,
APP20348,S10648,CloudSprint,Recruiter H,Submitted,False,
APP20349,S10650,HealthByte,Recruiter H,Submitted,False,
APP20350,S10651,LogicLoop,Recruiter B,Screening,False,
APP20351,S10655,RetailPulse,Recruiter B,Submitted,False,
APP20352,S10658,InnoWorks,Recruiter G,Offer,True,9.510054723712114
APP20353,S10659,InnoWorks,Recruiter C,Submitted,False,
APP20354,S10661,MarketMint,Recruiter A,Submitted,False,
APP20355,S10662,TechNova,Recruiter C,Submitted,False,
APP20356,S10663,MarketMint,Recruiter C,Rejected,False,
APP20357,S10665,LogicLoop,Recruiter C,Submitted,False,
APP20358,S10667,SecureStack,Recruiter C,Screening,False,
APP20359,S10669,FinEdge,Recruiter G,Rejected,False,
APP20360,S10670,LogicLoop,Recruiter E,Rejected,False,
APP20361,S10675,CloudSprint,Recruiter E,Interview,False,
APP20362,S10676,BuildRight,Recruiter F,Submitted,False,
APP20363,S10677,HealthByte,Recruiter G,Rejected,False,
APP20364,S10678,NextGen Systems,Recruiter B,Submitted,False,
APP20365,S10679,FinEdge,Recruiter B,Interview,False,
APP20366,S10683,RetailPulse,Recruiter C,Rejected,False,
APP20367,S10685,DataForge,Recruiter A,Submitted,False,
APP20368,S10686,RetailPulse,Recruiter C,Submitted,False,
APP20369,S10688,LogicLoop,Recruiter D,Interview,False,
APP20370,S10691,NextGen Systems,Recruiter F,Submitted,False,
APP20371,S10692,CloudSprint,Recruiter D,Offer,False,7.53619858851119
APP20372,S10697,RetailPulse,Recruiter H,Rejected,False,
APP20373,S10698,MarketMint,Recruiter B,Offer,False,6.785543998152952
APP20374,S10699,NextGen Systems,Recruiter F,Rejected,False,
APP20375,S10700,RetailPulse,Recruiter D,Submitted,False,
APP20376,S10704,LogicLoop,Recruiter E,Submitted,False,
APP20377,S10706,CloudSprint,Recruiter F,Interview,False,
APP20378,S10707,NextGen Systems,Recruiter D,Interview,False,
APP20379,S10710,BuildRight,Recruiter B,Interview,False,
APP20380,S10713,RetailPulse,Recruiter A,Screening,False,
APP20381,S10715,MarketMint,Recruiter H,Submitted,False,
APP20382,S10717,TechNova,Recruiter E,Submitted,False,
APP20383,S10718,DataForge,Recruiter D,Offer,True,10.048747533604965
APP20384,S10720,LogicLoop,Recruiter E,Interview,False,
APP20385,S10721,FinEdge,Recruiter C,Offer,True,8.265015986871372
APP20386,S10728,RetailPulse,Recruiter H,Offer,False,5.451242296860878
APP20387,S10729,TechNova,Recruiter G,Submitted,False,
APP20388,S10730,CloudSprint,Recruiter C,Interview,False,
APP20389,S10735,CloudSprint,Recruiter C,Screening,False,
APP20390,S10736,FinEdge,Recruiter D,Rejected,False,
APP20391,S10738,DataForge,Recruiter D,Interview,False,
APP20392,S10739,TechNova,Recruiter E,Submitted,False,
APP20393,S10740,DataForge,Recruiter F,Interview,False,
APP20394,S10742,HealthByte,Recruiter A,Screening,False,
APP20395,S10743,RetailPulse,Recruiter C,Rejected,False,
APP20396,S10744,SecureStack,Recruiter G,Submitted,False,
APP20397,S10746,MarketMint,Recruiter E,Rejected,False,
APP20398,S10751,FinEdge,Recruiter C,Rejected,False,
APP20399,S10753,LogicLoop,Recruiter F,Submitted,False,
APP20400,S10754,InnoWorks,Recruiter G,Submitted,False,
APP20401,S10755,SecureStack,Recruiter D,Rejected,False,
APP20402,S10758,HealthByte,Recruiter B,Interview,False,
APP20403,S10760,TechNova,Recruiter A,Rejected,False,
APP20404,S10761,LogicLoop,Recruiter A,Rejected,False,
APP20405,S10762,RetailPulse,Recruiter D,Interview,False,
APP20406,S10763,CloudSprint,Recruiter F,Screening,False,
APP20407,S10765,BuildRight,Recruiter H,Submitted,False,
APP20408,S10768,RetailPulse,Recruiter H,Submitted,False,
APP20409,S10770,BuildRight,Recruiter D,Rejected,False,
APP20410,S10777,FinEdge,Recruiter F,Submitted,False,
APP20411,S10778,TechNova,Recruiter C,Interview,False,
APP20412,S10779,LogicLoop,Recruiter A,Screening,False,
APP20413,S10781,NextGen Systems,Recruiter C,Rejected,False,
APP20414,S10784,SecureStack,Recruiter H,Rejected,False,
APP20415,S10788,DataForge,Recruiter E,Rejected,False,
APP20416,S10790,BuildRight,Recruiter E,Offer,True,10.57518497809043
APP20417,S10791,TechNova,Recruiter C,Interview,False,
APP20418,S10793,TechNova,Recruiter D,Submitted,False,
APP20419,S10794,BuildRight,Recruiter D,Submitted,False,
APP20420,S10795,DataForge,Recruiter C,Offer,True,11.196273734504771
APP20421,S10796,LogicLoop,Recruiter C,Interview,False,
APP20422,S10797,NextGen Systems,Recruiter B,Submitted,False,
APP20423,S10798,LogicLoop,Recruiter F,Rejected,False,
APP20424,S10799,InnoWorks,Recruiter B,Interview,False,
APP20425,S10801,NextGen Systems,Recruiter F,Screening,False,
APP20426,S10802,RetailPulse,Recruiter H,Screening,False,
APP20427,S10803,CloudSprint,Recruiter A,Rejected,False,
APP20428,S10805,InnoWorks,Recruiter E,Submitted,False,
APP20429,S10807,HealthByte,Recruiter C,Rejected,False,
APP20430,S10808,InnoWorks,Recruiter A,Submitted,False,
APP20431,S10809,InnoWorks,Recruiter A,Interview,False,
APP20432,S10811,LogicLoop,Recruiter C,Submitted,False,
APP20433,S10815,DataForge,Recruiter A,Rejected,False,
APP20434,S10817,RetailPulse,Recruiter F,Rejected,False,
APP20435,S10820,NextGen Systems,Recruiter F,Submitted,False,
APP20436,S10821,TechNova,Recruiter A,Interview,False,
APP20437,S10822,InnoWorks,Recruiter B,Rejected,False,
APP20438,S10828,FinEdge,Recruiter A,Submitted,False,
APP20439,S10829,BuildRight,Recruiter B,Submitted,False,
APP20440,S10832,NextGen Systems,Recruiter F,Rejected,False,
APP20441,S10833,HealthByte,Recruiter F,Submitted,False,
APP20442,S10834,TechNova,Recruiter E,Rejected,False,
APP20443,S10835,CloudSprint,Recruiter E,Offer,True,5.402171898688237
APP20444,S10836,TechNova,Recruiter A,Rejected,False,
APP20445,S10837,CloudSprint,Recruiter A,Screening,False,
APP20446,S10840,RetailPulse,Recruiter C,Screening,False,
APP20447,S10842,FinEdge,Recruiter E,Interview,False,
APP20448,S10844,CloudSprint,Recruiter A,Rejected,False,
APP20449,S10850,FinEdge,Recruiter B,Interview,False,
APP20450,S10852,MarketMint,Recruiter G,Rejected,False,
APP20451,S10854,LogicLoop,Recruiter B,Rejected,False,
APP20452,S10855,DataForge,Recruiter H,Rejected,False,
APP20453,S10858,RetailPulse,Recruiter A,Submitted,False,
APP20454,S10859,LogicLoop,Recruiter G,Interview,False,
APP20455,S10861,NextGen Systems,Recruiter F,Interview,False,
APP20456,S10862,TechNova,Recruiter F,Offer,False,5.989907709591976
APP20457,S10863,MarketMint,Recruiter D,Submitted,False,
