event_id,event_name,event_timestamp,company_id,search_id,session_id,search_category,location,platform,source,event_version,result_view_id,result_count,listing_id,position,contact_id,contact_channel,engagement_id,engagement_type,match_id,match_type,outcome_id,outcome_type,outcome_status
E000013,search_performed,2026-08-01 18:20:00,C018,SEARCH_00005,SESSION_00005,Digital Marketer,Hyderabad,web,direct,1.0,,,,,,,,,,,,,
E000025,listing_viewed,2026-08-01 18:20:29,C012,SEARCH_00008,SESSION_00008,Digital Marketer,Bengaluru,mobile,direct,1.0,,,LISTING_00006,6.0,,,,,,,,,
E000014,search_result_viewed,2026-08-01 18:21:30,C018,SEARCH_00005,SESSION_00005,Digital Marketer,Hyderabad,mobile,organic,1.0,RESULT_00005,17.0,,,,,,,,,,,
E000015,listing_viewed,2026-08-01 18:24:05,C018,SEARCH_00005,SESSION_00005,Digital Marketer,Hyderabad,web,campaign,1.0,,,LISTING_00004,6.0,,,,,,,,,
E000044,engagement_started,2026-08-01 19:00:41,C035,SEARCH_00013,SESSION_00013,Data Analyst,Bengaluru,web,organic,1.0,,,LISTING_00009,,,,ENGAGE_00003,application,,,,,
E000026,company_contact_started,2026-08-01 19:17:29,C012,SEARCH_00008,SESSION_00008,Digital Marketer,Bengaluru,web,organic,1.0,,,LISTING_00006,,CONTACT_00003,phone,,,,,,,
E000016,company_contact_started,2026-08-01 19:23:05,C018,SEARCH_00005,SESSION_00005,Digital Marketer,Hyderabad,mobile,direct,1.0,,,LISTING_00004,,CONTACT_00002,phone,,,,,,,
E000038,engagement_started,2026-08-02 01:22:25,C027,SEARCH_00012,SESSION_00012,Software Developer,Bengaluru,web,organic,1.0,,,LISTING_00008,,,,ENGAGE_00002,application,,,,,
E000017,engagement_started,2026-08-02 03:23:05,C018,SEARCH_00005,SESSION_00005,Digital Marketer,Hyderabad,mobile,campaign,1.0,,,LISTING_00004,,,,ENGAGE_00001,application,,,,,
E000046,search_performed,2026-08-02 09:43:00,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,web,campaign,1.0,,,,,,,,,,,,,
E000047,search_result_viewed,2026-08-02 09:45:35,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,web,organic,1.0,RESULT_00015,12.0,,,,,,,,,,,
E000048,listing_viewed,2026-08-02 09:48:14,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,mobile,referral,1.0,,,LISTING_00010,10.0,,,,,,,,,
E000069,search_performed,2026-08-02 09:49:00,C026,SEARCH_00021,SESSION_00021,Business Analyst,Mumbai,mobile,referral,1.0,,,,,,,,,,,,,
E000070,search_result_viewed,2026-08-02 09:50:52,C026,SEARCH_00021,SESSION_00021,Business Analyst,Mumbai,mobile,organic,1.0,RESULT_00021,26.0,,,,,,,,,,,
E000071,listing_viewed,2026-08-02 09:52:08,C026,SEARCH_00021,SESSION_00021,Business Analyst,Mumbai,mobile,organic,1.0,,,LISTING_00014,3.0,,,,,,,,,
E000072,company_contact_started,2026-08-02 10:20:08,C026,SEARCH_00021,SESSION_00021,Business Analyst,Mumbai,mobile,campaign,1.0,,,LISTING_00014,,CONTACT_00009,email,,,,,,,
E000049,company_contact_started,2026-08-02 10:34:14,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,web,referral,1.0,,,LISTING_00010,,CONTACT_00006,email,,,,,,,
E000066,search_performed,2026-08-02 12:10:00,C022,SEARCH_00020,SESSION_00020,UI/UX Designer,Hyderabad,web,campaign,1.0,,,,,,,,,,,,,
E000067,search_result_viewed,2026-08-02 12:12:10,C022,SEARCH_00020,SESSION_00020,UI/UX Designer,Hyderabad,web,campaign,1.0,RESULT_00020,12.0,,,,,,,,,,,
E000068,listing_viewed,2026-08-02 12:15:50,C022,SEARCH_00020,SESSION_00020,UI/UX Designer,Hyderabad,web,organic,1.0,,,LISTING_00013,4.0,,,,,,,,,
E000058,search_performed,2026-08-02 12:57:00,C017,SEARCH_00017,SESSION_00017,Digital Marketer,Pune,web,organic,1.0,,,,,,,,,,,,,
E000059,search_result_viewed,2026-08-02 12:58:20,C017,SEARCH_00017,SESSION_00017,Digital Marketer,Pune,web,referral,1.0,RESULT_00017,6.0,,,,,,,,,,,
E000053,search_performed,2026-08-02 13:56:00,C033,SEARCH_00016,SESSION_00016,Business Analyst,Hyderabad,web,direct,1.0,,,,,,,,,,,,,
E000054,search_result_viewed,2026-08-02 13:56:50,C033,SEARCH_00016,SESSION_00016,Business Analyst,Hyderabad,mobile,organic,1.0,RESULT_00016,19.0,,,,,,,,,,,
E000055,listing_viewed,2026-08-02 13:59:21,C033,SEARCH_00016,SESSION_00016,Business Analyst,Hyderabad,web,direct,1.0,,,LISTING_00011,5.0,,,,,,,,,
E000064,search_performed,2026-08-02 14:39:00,C007,SEARCH_00019,SESSION_00019,Business Analyst,Chennai,web,direct,1.0,,,,,,,,,,,,,
E000065,search_result_viewed,2026-08-02 14:39:55,C007,SEARCH_00019,SESSION_00019,Business Analyst,Chennai,web,direct,1.0,RESULT_00019,18.0,,,,,,,,,,,
E000056,company_contact_started,2026-08-02 14:56:21,C033,SEARCH_00016,SESSION_00016,Business Analyst,Hyderabad,web,referral,1.0,,,LISTING_00011,,CONTACT_00007,message,,,,,,,
E000060,search_performed,2026-08-02 16:45:00,C017,SEARCH_00018,SESSION_00018,Software Developer,Pune,mobile,organic,1.0,,,,,,,,,,,,,
E000061,search_result_viewed,2026-08-02 16:45:48,C017,SEARCH_00018,SESSION_00018,Software Developer,Pune,web,referral,1.0,RESULT_00018,22.0,,,,,,,,,,,
E000062,listing_viewed,2026-08-02 16:46:35,C017,SEARCH_00018,SESSION_00018,Software Developer,Pune,web,organic,1.0,,,LISTING_00012,7.0,,,,,,,,,
E000073,search_performed,2026-08-02 17:12:00,C033,SEARCH_00022,SESSION_00022,Data Analyst,Pune,mobile,organic,1.0,,,,,,,,,,,,,
E000074,search_result_viewed,2026-08-02 17:12:10,C033,SEARCH_00022,SESSION_00022,Data Analyst,Pune,web,referral,1.0,RESULT_00022,21.0,,,,,,,,,,,
E000075,listing_viewed,2026-08-02 17:15:10,C033,SEARCH_00022,SESSION_00022,Data Analyst,Pune,mobile,organic,1.0,,,LISTING_00015,6.0,,,,,,,,,
E000063,company_contact_started,2026-08-02 17:44:35,C017,SEARCH_00018,SESSION_00018,Software Developer,Pune,mobile,direct,1.0,,,LISTING_00012,,CONTACT_00008,message,,,,,,,
E000076,search_performed,2026-08-02 18:26:00,C020,SEARCH_00023,SESSION_00023,Digital Marketer,Mumbai,mobile,campaign,1.0,,,,,,,,,,,,,
E000077,search_result_viewed,2026-08-02 18:28:31,C020,SEARCH_00023,SESSION_00023,Digital Marketer,Mumbai,web,campaign,1.0,RESULT_00023,9.0,,,,,,,,,,,
E000078,listing_viewed,2026-08-02 18:30:18,C020,SEARCH_00023,SESSION_00023,Digital Marketer,Mumbai,mobile,campaign,1.0,,,LISTING_00016,3.0,,,,,,,,,
E000057,engagement_started,2026-08-02 21:56:21,C033,SEARCH_00016,SESSION_00016,Business Analyst,Hyderabad,mobile,direct,1.0,,,LISTING_00011,,,,ENGAGE_00005,application,,,,,
E000050,engagement_started,2026-08-03 08:34:14,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,mobile,campaign,1.0,,,LISTING_00010,,,,ENGAGE_00004,application,,,,,
E000085,search_performed,2026-08-03 09:49:00,C016,SEARCH_00026,SESSION_00026,Software Developer,Bengaluru,mobile,direct,1.0,,,,,,,,,,,,,
E000107,search_performed,2026-08-03 09:49:00,C011,SEARCH_00033,SESSION_00033,Digital Marketer,Chennai,web,referral,1.0,,,,,,,,,,,,,
E000108,search_result_viewed,2026-08-03 09:49:16,C011,SEARCH_00033,SESSION_00033,Digital Marketer,Chennai,mobile,campaign,1.0,RESULT_00033,14.0,,,,,,,,,,,
E000086,search_result_viewed,2026-08-03 09:51:22,C016,SEARCH_00026,SESSION_00026,Software Developer,Bengaluru,web,direct,1.0,RESULT_00026,19.0,,,,,,,,,,,
E000105,search_performed,2026-08-03 10:15:00,C013,SEARCH_00032,SESSION_00032,Data Analyst,Chennai,web,campaign,1.0,,,,,,,,,,,,,
E000106,search_result_viewed,2026-08-03 10:17:34,C013,SEARCH_00032,SESSION_00032,Data Analyst,Chennai,mobile,referral,1.0,RESULT_00032,11.0,,,,,,,,,,,
E000113,search_performed,2026-08-03 10:46:00,C030,SEARCH_00035,SESSION_00035,Software Developer,Pune,mobile,campaign,1.0,,,,,,,,,,,,,
E000114,search_result_viewed,2026-08-03 10:48:41,C030,SEARCH_00035,SESSION_00035,Software Developer,Pune,mobile,direct,1.0,RESULT_00035,13.0,,,,,,,,,,,
E000082,search_performed,2026-08-03 11:09:00,C016,SEARCH_00025,SESSION_00025,Business Analyst,Hyderabad,web,organic,1.0,,,,,,,,,,,,,
E000083,search_result_viewed,2026-08-03 11:11:11,C016,SEARCH_00025,SESSION_00025,Business Analyst,Hyderabad,web,campaign,1.0,RESULT_00025,24.0,,,,,,,,,,,
E000084,listing_viewed,2026-08-03 11:14:02,C016,SEARCH_00025,SESSION_00025,Business Analyst,Hyderabad,web,campaign,1.0,,,LISTING_00018,10.0,,,,,,,,,
E000115,search_performed,2026-08-03 11:48:00,C006,SEARCH_00036,SESSION_00036,Business Analyst,Pune,mobile,campaign,1.0,,,,,,,,,,,,,
E000116,search_result_viewed,2026-08-03 11:50:16,C006,SEARCH_00036,SESSION_00036,Business Analyst,Pune,web,campaign,1.0,RESULT_00036,15.0,,,,,,,,,,,
E000089,search_performed,2026-08-03 11:53:00,C031,SEARCH_00028,SESSION_00028,UI/UX Designer,Mumbai,mobile,campaign,1.0,,,,,,,,,,,,,
E000117,listing_viewed,2026-08-03 11:53:50,C006,SEARCH_00036,SESSION_00036,Business Analyst,Pune,mobile,referral,1.0,,,LISTING_00023,5.0,,,,,,,,,
E000090,search_result_viewed,2026-08-03 11:54:20,C031,SEARCH_00028,SESSION_00028,UI/UX Designer,Mumbai,web,referral,1.0,RESULT_00028,19.0,,,,,,,,,,,
E000091,listing_viewed,2026-08-03 11:55:55,C031,SEARCH_00028,SESSION_00028,UI/UX Designer,Mumbai,web,direct,1.0,,,LISTING_00019,6.0,,,,,,,,,
E000092,company_contact_started,2026-08-03 12:20:55,C031,SEARCH_00028,SESSION_00028,UI/UX Designer,Mumbai,web,direct,1.0,,,LISTING_00019,,CONTACT_00010,phone,,,,,,,
E000039,match_created,2026-08-03 14:22:25,C027,SEARCH_00012,SESSION_00012,Software Developer,Bengaluru,web,organic,1.0,,,LISTING_00008,,,,ENGAGE_00002,,MATCH_00001,company_candidate,,,
E000095,search_performed,2026-08-03 14:30:00,C038,SEARCH_00029,SESSION_00029,Data Analyst,Chennai,web,referral,1.0,,,,,,,,,,,,,
E000096,search_result_viewed,2026-08-03 14:31:49,C038,SEARCH_00029,SESSION_00029,Data Analyst,Chennai,web,campaign,1.0,RESULT_00029,18.0,,,,,,,,,,,
E000097,listing_viewed,2026-08-03 14:33:50,C038,SEARCH_00029,SESSION_00029,Data Analyst,Chennai,web,campaign,1.0,,,LISTING_00020,8.0,,,,,,,,,
E000051,match_created,2026-08-03 14:34:14,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,web,campaign,1.0,,,LISTING_00010,,,,ENGAGE_00004,,MATCH_00002,company_candidate,,,
E000099,search_performed,2026-08-03 14:37:00,C040,SEARCH_00030,SESSION_00030,Digital Marketer,Bengaluru,web,organic,1.0,,,,,,,,,,,,,
E000100,search_result_viewed,2026-08-03 14:37:44,C040,SEARCH_00030,SESSION_00030,Digital Marketer,Bengaluru,web,organic,1.0,RESULT_00030,19.0,,,,,,,,,,,
E000101,listing_viewed,2026-08-03 14:39:17,C040,SEARCH_00030,SESSION_00030,Digital Marketer,Bengaluru,mobile,referral,1.0,,,LISTING_00021,4.0,,,,,,,,,
E000079,search_performed,2026-08-03 14:50:00,C020,SEARCH_00024,SESSION_00024,Business Analyst,Hyderabad,mobile,campaign,1.0,,,,,,,,,,,,,
E000080,search_result_viewed,2026-08-03 14:51:04,C020,SEARCH_00024,SESSION_00024,Business Analyst,Hyderabad,mobile,direct,1.0,RESULT_00024,21.0,,,,,,,,,,,
E000081,listing_viewed,2026-08-03 14:52:26,C020,SEARCH_00024,SESSION_00024,Business Analyst,Hyderabad,mobile,organic,1.0,,,LISTING_00017,9.0,,,,,,,,,
E000098,company_contact_started,2026-08-03 15:17:50,C038,SEARCH_00029,SESSION_00029,Data Analyst,Chennai,web,campaign,1.0,,,LISTING_00020,,CONTACT_00011,email,,,,,,,
E000102,company_contact_started,2026-08-03 15:36:17,C040,SEARCH_00030,SESSION_00030,Digital Marketer,Bengaluru,mobile,campaign,1.0,,,LISTING_00021,,CONTACT_00012,email,,,,,,,
E000087,search_performed,2026-08-03 15:42:00,C008,SEARCH_00027,SESSION_00027,UI/UX Designer,Hyderabad,mobile,campaign,1.0,,,,,,,,,,,,,
E000088,search_result_viewed,2026-08-03 15:44:19,C008,SEARCH_00027,SESSION_00027,UI/UX Designer,Hyderabad,mobile,direct,1.0,RESULT_00027,18.0,,,,,,,,,,,
E000118,search_performed,2026-08-03 16:12:00,C018,SEARCH_00037,SESSION_00037,Digital Marketer,Bengaluru,web,direct,1.0,,,,,,,,,,,,,
E000119,search_result_viewed,2026-08-03 16:14:15,C018,SEARCH_00037,SESSION_00037,Digital Marketer,Bengaluru,web,campaign,1.0,RESULT_00037,22.0,,,,,,,,,,,
E000120,listing_viewed,2026-08-03 16:16:30,C018,SEARCH_00037,SESSION_00037,Digital Marketer,Bengaluru,web,organic,1.0,,,LISTING_00024,8.0,,,,,,,,,
E000122,search_performed,2026-08-03 16:22:00,C024,SEARCH_00038,SESSION_00038,UI/UX Designer,Chennai,mobile,referral,1.0,,,,,,,,,,,,,
E000123,search_result_viewed,2026-08-03 16:24:06,C024,SEARCH_00038,SESSION_00038,UI/UX Designer,Chennai,mobile,referral,1.0,RESULT_00038,13.0,,,,,,,,,,,
E000124,listing_viewed,2026-08-03 16:27:20,C024,SEARCH_00038,SESSION_00038,UI/UX Designer,Chennai,mobile,organic,1.0,,,LISTING_00025,4.0,,,,,,,,,
E000121,company_contact_started,2026-08-03 16:42:30,C018,SEARCH_00037,SESSION_00037,Digital Marketer,Bengaluru,web,referral,1.0,,,LISTING_00024,,CONTACT_00014,phone,,,,,,,
E000104,search_performed,2026-08-03 18:04:00,C004,SEARCH_00031,SESSION_00031,Business Analyst,Hyderabad,web,organic,1.0,,,,,,,,,,,,,
E000109,search_performed,2026-08-03 18:15:00,C013,SEARCH_00034,SESSION_00034,Data Analyst,Chennai,web,referral,1.0,,,,,,,,,,,,,
E000110,search_result_viewed,2026-08-03 18:17:43,C013,SEARCH_00034,SESSION_00034,Data Analyst,Chennai,web,organic,1.0,RESULT_00034,30.0,,,,,,,,,,,
E000111,listing_viewed,2026-08-03 18:19:42,C013,SEARCH_00034,SESSION_00034,Data Analyst,Chennai,web,referral,1.0,,,LISTING_00022,6.0,,,,,,,,,
E000103,engagement_started,2026-08-03 18:36:17,C040,SEARCH_00030,SESSION_00030,Digital Marketer,Bengaluru,mobile,organic,1.0,,,LISTING_00021,,,,ENGAGE_00007,application,,,,,
E000112,company_contact_started,2026-08-03 18:46:42,C013,SEARCH_00034,SESSION_00034,Data Analyst,Chennai,web,campaign,1.0,,,LISTING_00022,,CONTACT_00013,email,,,,,,,
E000093,engagement_started,2026-08-04 02:20:55,C031,SEARCH_00028,SESSION_00028,UI/UX Designer,Mumbai,mobile,campaign,1.0,,,LISTING_00019,,,,ENGAGE_00006,application,,,,,
E000052,outcome_recorded,2026-08-04 04:34:14,C012,SEARCH_00015,SESSION_00015,Data Analyst,Chennai,web,direct,1.0,,,LISTING_00010,,,,,,MATCH_00002,,OUTCOME_00001,successful,success
E000177,search_performed,2026-08-04 10:04:00,C030,SEARCH_00055,SESSION_00055,Business Analyst,Chennai,mobile,referral,1.0,,,,,,,,,,,,,
E000141,search_performed,2026-08-04 10:50:00,C010,SEARCH_00043,SESSION_00043,Data Analyst,Bengaluru,mobile,referral,1.0,,,,,,,,,,,,,
E000142,search_result_viewed,2026-08-04 10:52:09,C010,SEARCH_00043,SESSION_00043,Data Analyst,Bengaluru,mobile,campaign,1.0,RESULT_00043,27.0,,,,,,,,,,,
E000135,search_performed,2026-08-04 11:40:00,C004,SEARCH_00042,SESSION_00042,Digital Marketer,Bengaluru,web,referral,1.0,,,,,,,,,,,,,
E000136,search_result_viewed,2026-08-04 11:40:50,C004,SEARCH_00042,SESSION_00042,Digital Marketer,Bengaluru,web,organic,1.0,RESULT_00042,12.0,,,,,,,,,,,
E000137,listing_viewed,2026-08-04 11:42:44,C004,SEARCH_00042,SESSION_00042,Digital Marketer,Bengaluru,mobile,referral,1.0,,,LISTING_00029,8.0,,,,,,,,,
E000138,company_contact_started,2026-08-04 12:01:44,C004,SEARCH_00042,SESSION_00042,Digital Marketer,Bengaluru,mobile,campaign,1.0,,,LISTING_00029,,CONTACT_00016,phone,,,,,,,
E000125,search_performed,2026-08-04 12:46:00,C013,SEARCH_00039,SESSION_00039,Software Developer,Pune,mobile,organic,1.0,,,,,,,,,,,,,
E000126,search_result_viewed,2026-08-04 12:47:25,C013,SEARCH_00039,SESSION_00039,Software Developer,Pune,mobile,direct,1.0,RESULT_00039,12.0,,,,,,,,,,,
E000127,listing_viewed,2026-08-04 12:50:36,C013,SEARCH_00039,SESSION_00039,Software Developer,Pune,web,referral,1.0,,,LISTING_00026,9.0,,,,,,,,,
E000128,company_contact_started,2026-08-04 12:54:36,C013,SEARCH_00039,SESSION_00039,Software Developer,Pune,mobile,direct,1.0,,,LISTING_00026,,CONTACT_00015,phone,,,,,,,
E000151,search_performed,2026-08-04 14:03:00,C001,SEARCH_00047,SESSION_00047,Digital Marketer,Pune,web,referral,1.0,,,,,,,,,,,,,
E000152,search_result_viewed,2026-08-04 14:05:17,C001,SEARCH_00047,SESSION_00047,Digital Marketer,Pune,mobile,organic,1.0,RESULT_00047,25.0,,,,,,,,,,,
E000153,listing_viewed,2026-08-04 14:07:47,C001,SEARCH_00047,SESSION_00047,Digital Marketer,Pune,mobile,campaign,1.0,,,LISTING_00032,3.0,,,,,,,,,
E000165,search_performed,2026-08-04 15:02:00,C025,SEARCH_00051,SESSION_00051,UI/UX Designer,Hyderabad,web,referral,1.0,,,,,,,,,,,,,
E000166,search_result_viewed,2026-08-04 15:04:02,C025,SEARCH_00051,SESSION_00051,UI/UX Designer,Hyderabad,mobile,organic,1.0,RESULT_00051,8.0,,,,,,,,,,,
E000143,search_performed,2026-08-04 15:05:00,C033,SEARCH_00044,SESSION_00044,Digital Marketer,Pune,web,campaign,1.0,,,,,,,,,,,,,
E000144,search_result_viewed,2026-08-04 15:07:44,C033,SEARCH_00044,SESSION_00044,Digital Marketer,Pune,web,organic,1.0,RESULT_00044,13.0,,,,,,,,,,,
E000171,search_performed,2026-08-04 15:10:00,C028,SEARCH_00054,SESSION_00054,Data Analyst,Bengaluru,mobile,organic,1.0,,,,,,,,,,,,,
E000172,search_result_viewed,2026-08-04 15:10:24,C028,SEARCH_00054,SESSION_00054,Data Analyst,Bengaluru,mobile,referral,1.0,RESULT_00054,14.0,,,,,,,,,,,
E000145,listing_viewed,2026-08-04 15:10:46,C033,SEARCH_00044,SESSION_00044,Digital Marketer,Pune,web,referral,1.0,,,LISTING_00030,10.0,,,,,,,,,
E000173,listing_viewed,2026-08-04 15:11:36,C028,SEARCH_00054,SESSION_00054,Data Analyst,Bengaluru,mobile,direct,1.0,,,LISTING_00036,9.0,,,,,,,,,
E000174,company_contact_started,2026-08-04 15:17:36,C028,SEARCH_00054,SESSION_00054,Data Analyst,Bengaluru,mobile,direct,1.0,,,LISTING_00036,,CONTACT_00020,phone,,,,,,,
E000147,search_performed,2026-08-04 15:22:00,C028,SEARCH_00046,SESSION_00046,UI/UX Designer,Bengaluru,mobile,referral,1.0,,,,,,,,,,,,,
E000148,search_result_viewed,2026-08-04 15:22:36,C028,SEARCH_00046,SESSION_00046,UI/UX Designer,Bengaluru,mobile,campaign,1.0,RESULT_00046,10.0,,,,,,,,,,,
E000149,listing_viewed,2026-08-04 15:23:59,C028,SEARCH_00046,SESSION_00046,UI/UX Designer,Bengaluru,web,campaign,1.0,,,LISTING_00031,7.0,,,,,,,,,
E000150,company_contact_started,2026-08-04 15:40:59,C028,SEARCH_00046,SESSION_00046,UI/UX Designer,Bengaluru,web,campaign,1.0,,,LISTING_00031,,CONTACT_00017,email,,,,,,,
E000167,search_performed,2026-08-04 15:50:00,C027,SEARCH_00052,SESSION_00052,Software Developer,Bengaluru,mobile,referral,1.0,,,,,,,,,,,,,
E000168,search_result_viewed,2026-08-04 15:51:51,C027,SEARCH_00052,SESSION_00052,Software Developer,Bengaluru,web,referral,1.0,RESULT_00052,25.0,,,,,,,,,,,
E000157,search_performed,2026-08-04 16:45:00,C010,SEARCH_00049,SESSION_00049,UI/UX Designer,Mumbai,mobile,campaign,1.0,,,,,,,,,,,,,
E000158,search_result_viewed,2026-08-04 16:47:10,C010,SEARCH_00049,SESSION_00049,UI/UX Designer,Mumbai,mobile,direct,1.0,RESULT_00049,12.0,,,,,,,,,,,
E000159,listing_viewed,2026-08-04 16:49:53,C010,SEARCH_00049,SESSION_00049,UI/UX Designer,Mumbai,web,organic,1.0,,,LISTING_00034,9.0,,,,,,,,,
E000129,search_performed,2026-08-04 17:18:00,C032,SEARCH_00040,SESSION_00040,Data Analyst,Bengaluru,mobile,campaign,1.0,,,,,,,,,,,,,
