application_id,student_id,college_id,college,company,role,stage,package_lpa,applied_at
APP00047,STU01892,COL004,Dayananda Sagar College of Engineering,PrimeStack,Data Analyst,Interview,,2026-08-24T20:15
APP00048,STU00657,COL001,BMS Institute of Technology,CodeCraft,Software Engineer,Applied,,2026-08-11T12:10
APP00049,STU00212,COL001,BMS Institute of Technology,FinEdge Solutions,Data Analyst,Placed,9.7,2026-08-14T16:29
APP00050,STU01994,COL002,RV College of Engineering,DataNest,Frontend Developer,Screening,,2026-09-15T13:29
APP00051,STU00019,COL003,PES University,Aster Mobility,Backend Developer,Screening,,2026-08-29T20:32
APP00052,STU00059,COL003,PES University,DataNest,Data Analyst,Screening,,2026-07-22T10:30
APP00053,STU00875,COL006,CMR Institute of Technology,Nova Systems,ML Engineer,Rejected,,2026-09-25T20:04
APP00054,STU00619,COL004,Dayananda Sagar College of Engineering,FinEdge Solutions,ML Engineer,Applied,,2026-09-09T10:55
APP00055,STU00438,COL002,RV College of Engineering,Aster Mobility,Frontend Developer,Screening,,2026-08-29T09:27
APP00056,STU00412,COL001,BMS Institute of Technology,FinEdge Solutions,Frontend Developer,Applied,,2026-08-10T11:15
APP00057,STU01572,COL006,CMR Institute of Technology,TechForge,Business Analyst,Offer,12.1,2026-09-05T09:46
APP00058,STU01380,COL003,PES University,InfiCore,Business Analyst,Offer,9.9,2026-07-28T09:52
APP00059,STU01923,COL001,BMS Institute of Technology,QuantEdge,Business Analyst,Screening,,2026-07-15T10:16
APP00060,STU01584,COL005,New Horizon College of Engineering,FinEdge Solutions,ML Engineer,Interview,,2026-07-25T12:30
APP00061,STU01849,COL005,New Horizon College of Engineering,BlueOrbit Labs,Backend Developer,Screening,,2026-07-05T17:48
APP00062,STU00687,COL004,Dayananda Sagar College of Engineering,InfiCore,Data Analyst,Screening,,2026-10-02T11:50
APP00063,STU00343,COL004,Dayananda Sagar College of Engineering,Aster Mobility,Business Analyst,Applied,,2026-09-18T17:43
APP00064,STU00122,COL005,New Horizon College of Engineering,TechForge,Frontend Developer,Applied,,2026-09-01T09:30
APP00065,STU00748,COL005,New Horizon College of Engineering,FinEdge Solutions,ML Engineer,Offer,4.8,2026-09-01T13:46
APP00066,STU01011,COL005,New Horizon College of Engineering,Nova Systems,Frontend Developer,Rejected,,2026-09-15T17:02
APP00067,STU02259,COL002,RV College of Engineering,Nova Systems,Frontend Developer,Interview,,2026-09-11T12:49
APP00068,STU01472,COL002,RV College of Engineering,BrightWorks,Data Analyst,Offer,5.9,2026-08-18T09:04
APP00069,STU01057,COL001,BMS Institute of Technology,InfiCore,Frontend Developer,Placed,4.9,2026-09-04T20:40
APP00070,STU00967,COL005,New Horizon College of Engineering,Aster Mobility,Data Analyst,Rejected,,2026-07-26T19:18
APP00071,STU00723,COL002,RV College of Engineering,Nova Systems,ML Engineer,Screening,,2026-08-15T10:44
APP00072,STU02333,COL002,RV College of Engineering,Vertex Digital,Software Engineer,Offer,4.2,2026-09-11T10:12
APP00073,STU00015,COL001,BMS Institute of Technology,InfiCore,Frontend Developer,Rejected,,2026-09-14T13:26
APP00074,STU01189,COL003,PES University,BlueOrbit Labs,Data Analyst,Screening,,2026-08-23T10:18
APP00075,STU02196,COL003,PES University,BlueOrbit Labs,Data Analyst,Rejected,,2026-08-31T13:50
APP00076,STU01452,COL004,Dayananda Sagar College of Engineering,CodeCraft,Data Analyst,Interview,,2026-08-14T19:47
APP00077,STU01899,COL006,CMR Institute of Technology,Vertex Digital,Software Engineer,Rejected,,2026-07-31T12:47
APP00078,STU00180,COL003,PES University,CloudMinds,Frontend Developer,Screening,,2026-08-30T13:48
APP00079,STU00423,COL004,Dayananda Sagar College of Engineering,BlueOrbit Labs,Business Analyst,Applied,,2026-09-04T18:15
APP00080,STU01129,COL002,RV College of Engineering,BrightWorks,Data Analyst,Rejected,,2026-07-29T13:29
APP00081,STU01120,COL001,BMS Institute of Technology,CodeCraft,Software Engineer,Screening,,2026-08-05T18:10
APP00082,STU00528,COL001,BMS Institute of Technology,TechForge,Frontend Developer,Placed,9.6,2026-08-07T10:24
APP00083,STU01871,COL005,New Horizon College of Engineering,DataNest,Data Analyst,Screening,,2026-07-15T16:34
APP00084,STU00802,COL001,BMS Institute of Technology,TechForge,Data Analyst,Offer,7.6,2026-08-12T16:09
APP00085,STU01198,COL006,CMR Institute of Technology,PrimeStack,Business Analyst,Offer,6.0,2026-08-25T13:10
APP00086,STU00594,COL002,RV College of Engineering,Vertex Digital,Data Analyst,Rejected,,2026-08-05T13:40
APP00087,STU01713,COL005,New Horizon College of Engineering,TechForge,Software Engineer,Screening,,2026-07-22T20:18
APP00088,STU00412,COL001,BMS Institute of Technology,NextGen Labs,Data Analyst,Offer,12.9,2026-09-05T11:15
APP00089,STU00776,COL001,BMS Institute of Technology,Aster Mobility,ML Engineer,Screening,,2026-07-15T09:38
APP00090,STU01506,COL002,RV College of Engineering,BrightWorks,Business Analyst,Interview,,2026-09-27T16:52
APP00091,STU01443,COL006,CMR Institute of Technology,DataNest,Data Analyst,Applied,,2026-07-22T19:08
APP00092,STU00424,COL004,Dayananda Sagar College of Engineering,QuantEdge,Business Analyst,Screening,,2026-09-22T17:12
APP00093,STU00007,COL006,CMR Institute of Technology,DataNest,Software Engineer,Applied,,2026-09-22T10:51
APP00094,STU01605,COL004,Dayananda Sagar College of Engineering,QuantEdge,Software Engineer,Applied,,2026-08-14T12:25
APP00095,STU01007,COL003,PES University,Nova Systems,Business Analyst,Applied,,2026-08-13T20:25
APP00096,STU01715,COL006,CMR Institute of Technology,DataNest,Data Analyst,Screening,,2026-09-22T15:32
APP00097,STU01973,COL001,BMS Institute of Technology,DataNest,Backend Developer,Applied,,2026-08-22T20:09
APP00098,STU01556,COL005,New Horizon College of Engineering,BrightWorks,Frontend Developer,Interview,,2026-09-17T18:43
APP00099,STU01412,COL001,BMS Institute of Technology,CodeCraft,ML Engineer,Offer,6.5,2026-09-01T10:48
APP00100,STU01494,COL001,BMS Institute of Technology,PrimeStack,ML Engineer,Screening,,2026-08-24T10:43
APP00101,STU01879,COL002,RV College of Engineering,Orion Analytics,Software Engineer,Applied,,2026-07-25T10:10
APP00102,STU01356,COL004,Dayananda Sagar College of Engineering,NextGen Labs,Software Engineer,Rejected,,2026-07-28T10:14
APP00103,STU00823,COL001,BMS Institute of Technology,BlueOrbit Labs,Backend Developer,Applied,,2026-09-05T13:37
APP00104,STU01395,COL003,PES University,Vertex Digital,ML Engineer,Screening,,2026-08-07T13:06
APP00105,STU01524,COL002,RV College of Engineering,BlueOrbit Labs,Frontend Developer,Screening,,2026-08-26T18:04
APP00106,STU00884,COL004,Dayananda Sagar College of Engineering,Nova Systems,ML Engineer,Applied,,2026-08-28T18:20
APP00107,STU00806,COL006,CMR Institute of Technology,Vertex Digital,Data Analyst,Interview,,2026-07-14T09:22
APP00108,STU02073,COL003,PES University,PrimeStack,Software Engineer,Applied,,2026-08-09T09:33
APP00109,STU00920,COL004,Dayananda Sagar College of Engineering,CloudMinds,Software Engineer,Interview,,2026-08-28T17:59
APP00110,STU00976,COL005,New Horizon College of Engineering,PrimeStack,Frontend Developer,Offer,10.4,2026-08-10T20:51
APP00111,STU00349,COL002,RV College of Engineering,TechForge,Frontend Developer,Rejected,,2026-07-18T13:23
APP00112,STU01666,COL001,BMS Institute of Technology,BrightWorks,Data Analyst,Screening,,2026-08-27T10:16
APP00113,STU01062,COL001,BMS Institute of Technology,QuantEdge,Frontend Developer,Applied,,2026-07-22T17:38
APP00114,STU01307,COL004,Dayananda Sagar College of Engineering,CloudMinds,Software Engineer,Interview,,2026-09-05T16:02
APP00115,STU00165,COL001,BMS Institute of Technology,NextGen Labs,Data Analyst,Applied,,2026-08-27T19:17
APP00116,STU01807,COL003,PES University,TechForge,Software Engineer,Offer,11.1,2026-08-29T13:44
APP00117,STU00227,COL006,CMR Institute of Technology,TechForge,Business Analyst,Offer,11.5,2026-07-27T16:39
APP00118,STU02278,COL004,Dayananda Sagar College of Engineering,CloudMinds,Business Analyst,Screening,,2026-08-18T16:15
APP00119,STU01607,COL005,New Horizon College of Engineering,QuantEdge,Data Analyst,Placed,5.9,2026-08-29T14:10
APP00120,STU02185,COL002,RV College of Engineering,TechForge,Data Analyst,Applied,,2026-07-17T16:14
APP00121,STU01509,COL003,PES University,InfiCore,Data Analyst,Offer,13.4,2026-10-05T15:10
APP00122,STU01200,COL005,New Horizon College of Engineering,QuantEdge,Backend Developer,Interview,,2026-09-01T17:23
APP00123,STU01123,COL004,Dayananda Sagar College of Engineering,BrightWorks,Backend Developer,Applied,,2026-08-09T12:50
APP00124,STU00758,COL003,PES University,TechForge,Software Engineer,Screening,,2026-09-04T15:43
APP00125,STU00567,COL004,Dayananda Sagar College of Engineering,TechForge,Software Engineer,Interview,,2026-07-03T19:24
APP00126,STU02261,COL006,CMR Institute of Technology,CodeCraft,ML Engineer,Applied,,2026-07-27T20:17
APP00127,STU02078,COL001,BMS Institute of Technology,TechForge,Frontend Developer,Rejected,,2026-09-27T13:33
APP00128,STU00809,COL004,Dayananda Sagar College of Engineering,TechForge,ML Engineer,Interview,,2026-08-25T11:12
APP00129,STU01970,COL005,New Horizon College of Engineering,Orion Analytics,ML Engineer,Screening,,2026-08-20T18:47
APP00130,STU02126,COL002,RV College of Engineering,Aster Mobility,Software Engineer,Rejected,,2026-08-26T17:34
APP00131,STU00876,COL006,CMR Institute of Technology,Vertex Digital,Business Analyst,Rejected,,2026-07-16T12:46
APP00132,STU01244,COL003,PES University,Orion Analytics,Frontend Developer,Screening,,2026-09-16T14:38
APP00133,STU01439,COL004,Dayananda Sagar College of Engineering,Aster Mobility,ML Engineer,Placed,11.3,2026-09-12T09:53
APP00134,STU00307,COL006,CMR Institute of Technology,Nova Systems,Frontend Developer,Screening,,2026-08-14T13:12
APP00135,STU01134,COL006,CMR Institute of Technology,TechForge,Data Analyst,Screening,,2026-08-30T13:02
APP00136,STU00628,COL002,RV College of Engineering,Orion Analytics,Business Analyst,Applied,,2026-07-21T12:44
APP00137,STU00526,COL002,RV College of Engineering,BlueOrbit Labs,Backend Developer,Placed,4.9,2026-09-22T13:29
APP00138,STU02383,COL003,PES University,Aster Mobility,Frontend Developer,Rejected,,2026-09-18T14:32
APP00139,STU02110,COL002,RV College of Engineering,BlueOrbit Labs,Business Analyst,Screening,,2026-07-22T17:41
APP00140,STU00316,COL003,PES University,FinEdge Solutions,Business Analyst,Offer,6.9,2026-09-18T19:35
APP00141,STU01412,COL001,BMS Institute of Technology,PrimeStack,Data Analyst,Screening,,2026-08-15T10:48
APP00142,STU00002,COL003,PES University,BlueOrbit Labs,ML Engineer,Interview,,2026-08-20T15:26
APP00143,STU02112,COL003,PES University,TechForge,Data Analyst,Screening,,2026-09-08T16:02
APP00144,STU00245,COL005,New Horizon College of Engineering,QuantEdge,Data Analyst,Placed,8.2,2026-07-18T12:29
APP00145,STU01190,COL004,Dayananda Sagar College of Engineering,InfiCore,Backend Developer,Interview,,2026-08-08T21:00
APP00146,STU00233,COL006,CMR Institute of Technology,FinEdge Solutions,Software Engineer,Screening,,2026-07-26T18:54
APP00147,STU01518,COL002,RV College of Engineering,NextGen Labs,Software Engineer,Placed,11.6,2026-07-06T13:32
APP00148,STU00754,COL005,New Horizon College of Engineering,QuantEdge,Data Analyst,Applied,,2026-07-19T17:37
APP00149,STU00924,COL001,BMS Institute of Technology,FinEdge Solutions,ML Engineer,Rejected,,2026-07-31T17:40
APP00150,STU00345,COL005,New Horizon College of Engineering,Vertex Digital,Software Engineer,Screening,,2026-07-15T18:14
APP00151,STU01540,COL006,CMR Institute of Technology,CloudMinds,Data Analyst,Applied,,2026-09-10T20:17
APP00152,STU01770,COL005,New Horizon College of Engineering,DataNest,Backend Developer,Screening,,2026-08-14T13:53
APP00153,STU01238,COL006,CMR Institute of Technology,Vertex Digital,ML Engineer,Screening,,2026-07-30T12:21
APP00154,STU01945,COL002,RV College of Engineering,PrimeStack,Data Analyst,Screening,,2026-08-05T15:06
APP00155,STU02313,COL005,New Horizon College of Engineering,QuantEdge,Software Engineer,Interview,,2026-09-25T13:47
APP00156,STU00252,COL005,New Horizon College of Engineering,CodeCraft,Software Engineer,Placed,9.9,2026-09-10T14:21
APP00157,STU00768,COL006,CMR Institute of Technology,BrightWorks,Software Engineer,Applied,,2026-07-16T17:55
APP00158,STU01986,COL003,PES University,Orion Analytics,Business Analyst,Applied,,2026-08-20T09:47
APP00159,STU00404,COL004,Dayananda Sagar College of Engineering,CodeCraft,Data Analyst,Applied,,2026-09-16T12:20
APP00160,STU01741,COL004,Dayananda Sagar College of Engineering,Nova Systems,Data Analyst,Applied,,2026-09-09T11:23
APP00161,STU00125,COL006,CMR Institute of Technology,CodeCraft,ML Engineer,Applied,,2026-09-30T09:34
APP00162,STU01954,COL003,PES University,CodeCraft,Frontend Developer,Interview,,2026-09-30T14:05
APP00163,STU00667,COL001,BMS Institute of Technology,NextGen Labs,Business Analyst,Applied,,2026-07-28T12:48
APP00164,STU01160,COL005,New Horizon College of Engineering,Aster Mobility,ML Engineer,Interview,,2026-09-08T11:03
APP00165,STU00301,COL004,Dayananda Sagar College of Engineering,NextGen Labs,ML Engineer,Interview,,2026-07-18T10:39
APP00166,STU02275,COL004,Dayananda Sagar College of Engineering,BrightWorks,Backend Developer,Offer,9.3,2026-08-31T11:37
APP00167,STU01220,COL002,RV College of Engineering,Aster Mobility,Software Engineer,Screening,,2026-08-09T16:53
APP00168,STU01746,COL001,BMS Institute of Technology,QuantEdge,Data Analyst,Applied,,2026-07-18T20:12
APP00169,STU01763,COL005,New Horizon College of Engineering,QuantEdge,Backend Developer,Screening,,2026-09-05T17:43
APP00170,STU01657,COL001,BMS Institute of Technology,Orion Analytics,Data Analyst,Applied,,2026-07-10T20:10
APP00171,STU01507,COL001,BMS Institute of Technology,Nova Systems,Frontend Developer,Interview,,2026-08-09T14:56
APP00172,STU00494,COL002,RV College of Engineering,Orion Analytics,Data Analyst,Applied,,2026-07-21T19:39
APP00173,STU01390,COL005,New Horizon College of Engineering,BlueOrbit Labs,Software Engineer,Placed,10.8,2026-09-11T16:31
APP00174,STU00312,COL004,Dayananda Sagar College of Engineering,Vertex Digital,Business Analyst,Screening,,2026-07-16T19:42
APP00175,STU02048,COL005,New Horizon College of Engineering,CloudMinds,Software Engineer,Rejected,,2026-09-05T09:51
APP00176,STU02074,COL002,RV College of Engineering,QuantEdge,Software Engineer,Applied,,2026-08-18T20:48
APP00177,STU00227,COL006,CMR Institute of Technology,BlueOrbit Labs,Backend Developer,Interview,,2026-08-25T16:39
APP00178,STU02285,COL006,CMR Institute of Technology,Nova Systems,Business Analyst,Screening,,2026-07-17T19:30
APP00179,STU00480,COL006,CMR Institute of Technology,InfiCore,Data Analyst,Applied,,2026-09-11T12:31
APP00180,STU00777,COL004,Dayananda Sagar College of Engineering,BlueOrbit Labs,ML Engineer,Screening,,2026-08-14T20:17
APP00181,STU01923,COL001,BMS Institute of Technology,Vertex Digital,ML Engineer,Interview,,2026-08-04T10:16
APP00182,STU01993,COL006,CMR Institute of Technology,InfiCore,Software Engineer,Screening,,2026-08-10T13:33
APP00183,STU02355,COL006,CMR Institute of Technology,CloudMinds,Data Analyst,Interview,,2026-09-30T20:11
APP00184,STU01981,COL002,RV College of Engineering,FinEdge Solutions,Backend Developer,Rejected,,2026-08-22T18:17
APP00185,STU01126,COL002,RV College of Engineering,Vertex Digital,Backend Developer,Applied,,2026-09-15T09:49
APP00186,STU00624,COL006,CMR Institute of Technology,BlueOrbit Labs,Data Analyst,Interview,,2026-09-11T13:07
APP00187,STU01478,COL001,BMS Institute of Technology,Aster Mobility,Data Analyst,Rejected,,2026-08-24T13:36
APP00188,STU01957,COL004,Dayananda Sagar College of Engineering,QuantEdge,Frontend Developer,Rejected,,2026-08-07T11:17
APP00189,STU01969,COL001,BMS Institute of Technology,BlueOrbit Labs,Frontend Developer,Offer,11.3,2026-10-03T15:01
APP00190,STU01202,COL003,PES University,InfiCore,Backend Developer,Placed,8.5,2026-09-22T14:40
APP00191,STU00241,COL004,Dayananda Sagar College of Engineering,BlueOrbit Labs,Frontend Developer,Screening,,2026-08-26T15:20
APP00192,STU01254,COL004,Dayananda Sagar College of Engineering,BrightWorks,Frontend Developer,Offer,9.8,2026-08-19T10:10
APP00193,STU01951,COL003,PES University,TechForge,Business Analyst,Interview,,2026-08-25T15:10
APP00194,STU01342,COL005,New Horizon College of Engineering,Aster Mobility,Frontend Developer,Rejected,,2026-07-17T18:06
APP00195,STU00442,COL005,New Horizon College of Engineering,TechForge,Frontend Developer,Offer,11.0,2026-08-18T17:07
APP00196,STU01265,COL005,New Horizon College of Engineering,CodeCraft,ML Engineer,Applied,,2026-07-29T17:17
APP00197,STU00233,COL006,CMR Institute of Technology,InfiCore,Business Analyst,Rejected,,2026-08-06T18:54
APP00198,STU01533,COL006,CMR Institute of Technology,Orion Analytics,Software Engineer,Rejected,,2026-07-11T12:21
APP00199,STU00331,COL003,PES University,InfiCore,Business Analyst,Screening,,2026-08-01T16:34
APP00200,STU02033,COL003,PES University,NextGen Labs,ML Engineer,Screening,,2026-09-27T17:27
APP00201,STU01365,COL006,CMR Institute of Technology,NextGen Labs,Data Analyst,Rejected,,2026-07-11T15:21
APP00202,STU02305,COL002,RV College of Engineering,CloudMinds,ML Engineer,Applied,,2026-08-17T18:34
APP00203,STU01898,COL005,New Horizon College of Engineering,CodeCraft,ML Engineer,Rejected,,2026-08-27T10:43
APP00204,STU01904,COL004,Dayananda Sagar College of Engineering,InfiCore,ML Engineer,Applied,,2026-08-09T09:26
APP00205,STU00401,COL005,New Horizon College of Engineering,Orion Analytics,Backend Developer,Offer,5.8,2026-08-14T15:23
APP00206,STU01651,COL005,New Horizon College of Engineering,TechForge,Frontend Developer,Interview,,2026-07-18T10:23
APP00207,STU02389,COL003,PES University,BrightWorks,Data Analyst,Offer,4.7,2026-08-03T12:52
APP00208,STU00663,COL005,New Horizon College of Engineering,TechForge,Backend Developer,Offer,5.0,2026-09-03T19:14
APP00209,STU01548,COL003,PES University,PrimeStack,Backend Developer,Screening,,2026-08-15T16:24
APP00210,STU01833,COL006,CMR Institute of Technology,InfiCore,Frontend Developer,Rejected,,2026-07-07T19:21
APP00211,STU00749,COL004,Dayananda Sagar College of Engineering,Orion Analytics,Backend Developer,Screening,,2026-08-17T10:41
APP00212,STU01167,COL003,PES University,PrimeStack,Software Engineer,Applied,,2026-09-25T19:16
APP00213,STU01736,COL004,Dayananda Sagar College of Engineering,CloudMinds,Software Engineer,Applied,,2026-09-12T14:13
APP00214,STU00802,COL001,BMS Institute of Technology,CloudMinds,Software Engineer,Applied,,2026-09-22T16:09
APP00215,STU00667,COL001,BMS Institute of Technology,BrightWorks,Data Analyst,Rejected,,2026-08-15T12:48
APP00216,STU01033,COL006,CMR Institute of Technology,NextGen Labs,Backend Developer,Applied,,2026-08-09T10:30
APP00217,STU01120,COL001,BMS Institute of Technology,Orion Analytics,ML Engineer,Screening,,2026-07-22T18:10
APP00218,STU02086,COL006,CMR Institute of Technology,NextGen Labs,Data Analyst,Interview,,2026-08-03T16:53
APP00219,STU00463,COL004,Dayananda Sagar College of Engineering,Orion Analytics,Backend Developer,Screening,,2026-08-22T10:29
APP00220,STU02199,COL004,Dayananda Sagar College of Engineering,PrimeStack,Software Engineer,Interview,,2026-08-27T19:19
APP00221,STU00944,COL006,CMR Institute of Technology,FinEdge Solutions,Business Analyst,Screening,,2026-08-21T11:38
APP00222,STU00258,COL001,BMS Institute of Technology,InfiCore,Business Analyst,Placed,9.7,2026-08-23T16:37
APP00223,STU00806,COL006,CMR Institute of Technology,BrightWorks,Software Engineer,Rejected,,2026-07-18T09:22
APP00224,STU00836,COL004,Dayananda Sagar College of Engineering,Vertex Digital,Frontend Developer,Interview,,2026-07-24T10:24
APP00225,STU02383,COL003,PES University,Orion Analytics,Data Analyst,Rejected,,2026-09-10T14:32
APP00226,STU01820,COL004,Dayananda Sagar College of Engineering,NextGen Labs,Software Engineer,Applied,,2026-07-30T17:21
APP00227,STU01599,COL002,RV College of Engineering,NextGen Labs,Frontend Developer,Interview,,2026-07-15T19:31
APP00228,STU00537,COL003,PES University,BrightWorks,Backend Developer,Placed,14.6,2026-08-20T10:28
APP00229,STU01736,COL004,Dayananda Sagar College of Engineering,Aster Mobility,Frontend Developer,Rejected,,2026-08-27T14:13
APP00230,STU00041,COL001,BMS Institute of Technology,CodeCraft,Backend Developer,Applied,,2026-07-13T18:41
APP00231,STU00260,COL001,BMS Institute of Technology,InfiCore,Data Analyst,Applied,,2026-08-28T14:03
APP00232,STU00233,COL006,CMR Institute of Technology,Nova Systems,Backend Developer,Applied,,2026-08-14T18:54
APP00233,STU00197,COL001,BMS Institute of Technology,PrimeStack,Backend Developer,Applied,,2026-08-24T09:31
APP00234,STU00649,COL005,New Horizon College of Engineering,CloudMinds,ML Engineer,Screening,,2026-08-28T19:02
APP00235,STU00564,COL002,RV College of Engineering,Aster Mobility,ML Engineer,Offer,6.5,2026-07-20T17:00
APP00236,STU00677,COL004,Dayananda Sagar College of Engineering,BlueOrbit Labs,Software Engineer,Screening,,2026-07-24T09:10
APP00237,STU01274,COL004,Dayananda Sagar College of Engineering,NextGen Labs,Frontend Developer,Applied,,2026-08-18T20:43
APP00238,STU01980,COL002,RV College of Engineering,BrightWorks,Frontend Developer,Screening,,2026-08-22T18:01
APP00239,STU00096,COL003,PES University,CodeCraft,Business Analyst,Applied,,2026-08-29T20:44
APP00240,STU00554,COL006,CMR Institute of Technology,NextGen Labs,Data Analyst,Screening,,2026-08-17T13:38
APP00241,STU00423,COL004,Dayananda Sagar College of Engineering,Vertex Digital,Frontend Developer,Screening,,2026-09-13T18:15
APP00242,STU01265,COL005,New Horizon College of Engineering,Nova Systems,Backend Developer,Rejected,,2026-07-29T17:17
APP00243,STU01726,COL003,PES University,DataNest,Business Analyst,Interview,,2026-08-07T11:46
APP00244,STU02035,COL004,Dayananda Sagar College of Engineering,QuantEdge,Frontend Developer,Screening,,2026-08-24T12:09
APP00245,STU00814,COL001,BMS Institute of Technology,NextGen Labs,ML Engineer,Applied,,2026-08-23T09:11
APP00246,STU02393,COL002,RV College of Engineering,BrightWorks,ML Engineer,Rejected,,2026-08-22T20:36
APP00247,STU00006,COL005,New Horizon College of Engineering,Vertex Digital,Software Engineer,Screening,,2026-08-06T12:37
APP00248,STU01145,COL001,BMS Institute of Technology,InfiCore,Backend Developer,Interview,,2026-08-04T13:05
