event_id,event_name,event_timestamp,payment_id,company_id,seller_id,order_id,amount,currency,gateway,event_version,payment_method,gateway_transaction_id,captured_amount,revenue_id,recognized_amount,revenue_type,refund_id,refund_amount,refund_reason,failure_code,failure_reason,chargeback_id,chargeback_amount,chargeback_reason
PE000043,revenue_recognized,2026-08-01 14:40:39,PAY00011,CMP029,SEL018,ORD00011,1564.97,INR,DemoGateway,1.0,,,,REV00011,1564.97,platform_fee,,,,,,,,
PE000044,payment_initiated,2026-08-01 12:53:00,PAY00012,CMP017,SEL006,ORD00012,21957.19,INR,DemoPay,1.0,netbanking,,,,,,,,,,,,,
PE000045,payment_authorized,2026-08-01 12:53:17,PAY00012,CMP017,SEL006,ORD00012,21957.19,INR,DemoPay,1.0,,GTX000012,,,,,,,,,,,,
PE000046,payment_captured,2026-08-01 12:53:41,PAY00012,CMP017,SEL006,ORD00012,21957.19,INR,DemoPay,1.0,,GTX000012,21957.19,,,,,,,,,,,
PE000047,revenue_recognized,2026-08-01 13:41:41,PAY00012,CMP017,SEL006,ORD00012,1756.58,INR,DemoPay,1.0,,,,REV00012,1756.58,platform_fee,,,,,,,,
PE000048,payment_initiated,2026-08-01 15:01:00,PAY00013,CMP025,SEL017,ORD00013,15575.2,INR,DemoPay,1.0,card,,,,,,,,,,,,,
PE000049,payment_authorized,2026-08-01 15:01:58,PAY00013,CMP025,SEL017,ORD00013,15575.2,INR,DemoPay,1.0,,GTX000013,,,,,,,,,,,,
PE000050,payment_captured,2026-08-01 15:03:46,PAY00013,CMP025,SEL017,ORD00013,15575.2,INR,DemoPay,1.0,,GTX000013,15575.2,,,,,,,,,,,
PE000051,revenue_recognized,2026-08-01 15:43:46,PAY00013,CMP025,SEL017,ORD00013,1246.02,INR,DemoPay,1.0,,,,REV00013,1246.02,platform_fee,,,,,,,,
PE000052,payment_initiated,2026-08-02 16:49:00,PAY00014,CMP003,SEL016,ORD00014,24482.64,INR,DemoPay,1.0,card,,,,,,,,,,,,,
PE000053,payment_authorized,2026-08-02 16:49:35,PAY00014,CMP003,SEL016,ORD00014,24482.64,INR,DemoPay,1.0,,GTX000014,,,,,,,,,,,,
PE000054,payment_captured,2026-08-02 16:50:50,PAY00014,CMP003,SEL016,ORD00014,24482.64,INR,DemoPay,1.0,,GTX000014,24482.64,,,,,,,,,,,
PE000055,revenue_recognized,2026-08-02 17:12:50,PAY00014,CMP003,SEL016,ORD00014,1958.61,INR,DemoPay,1.0,,,,REV00014,1958.61,platform_fee,,,,,,,,
PE000056,payment_initiated,2026-08-02 14:42:00,PAY00015,CMP014,SEL007,ORD00015,18254.3,INR,DemoPay,1.0,netbanking,,,,,,,,,,,,,
PE000057,payment_authorized,2026-08-02 14:42:38,PAY00015,CMP014,SEL007,ORD00015,18254.3,INR,DemoPay,1.0,,GTX000015,,,,,,,,,,,,
PE000058,payment_captured,2026-08-02 14:43:40,PAY00015,CMP014,SEL007,ORD00015,18254.3,INR,DemoPay,1.0,,GTX000015,18254.3,,,,,,,,,,,
PE000059,revenue_recognized,2026-08-02 14:59:40,PAY00015,CMP014,SEL007,ORD00015,1460.34,INR,DemoPay,1.0,,,,REV00015,1460.34,platform_fee,,,,,,,,
PE000060,payment_initiated,2026-08-02 08:04:00,PAY00016,CMP001,SEL019,ORD00016,15328.34,INR,DemoPay,1.0,netbanking,,,,,,,,,,,,,
PE000061,payment_authorized,2026-08-02 08:04:19,PAY00016,CMP001,SEL019,ORD00016,15328.34,INR,DemoPay,1.0,,GTX000016,,,,,,,,,,,,
PE000062,payment_captured,2026-08-02 08:04:32,PAY00016,CMP001,SEL019,ORD00016,15328.34,INR,DemoPay,1.0,,GTX000016,15328.34,,,,,,,,,,,
PE000063,revenue_recognized,2026-08-02 10:00:32,PAY00016,CMP001,SEL019,ORD00016,1226.27,INR,DemoPay,1.0,,,,REV00016,1226.27,platform_fee,,,,,,,,
PE000064,payment_refunded,2026-08-07 10:00:32,PAY00016,CMP001,SEL019,ORD00016,7630.78,INR,DemoPay,1.0,,,,,,,REF00016,7630.78,customer_request,,,,,
PE000065,payment_initiated,2026-08-02 17:36:00,PAY00017,CMP016,SEL007,ORD00017,18498.79,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000066,payment_authorized,2026-08-02 17:36:35,PAY00017,CMP016,SEL007,ORD00017,18498.79,INR,DemoPay,1.0,,GTX000017,,,,,,,,,,,,
PE000067,payment_captured,2026-08-02 17:38:23,PAY00017,CMP016,SEL007,ORD00017,18498.79,INR,DemoPay,1.0,,GTX000017,18498.79,,,,,,,,,,,
PE000068,revenue_recognized,2026-08-02 18:31:23,PAY00017,CMP016,SEL007,ORD00017,1479.9,INR,DemoPay,1.0,,,,REV00017,1479.9,platform_fee,,,,,,,,
PE000069,payment_initiated,2026-08-02 08:43:00,PAY00018,CMP014,SEL012,ORD00018,11160.9,INR,DemoGateway,1.0,netbanking,,,,,,,,,,,,,
PE000070,payment_authorized,2026-08-02 08:43:11,PAY00018,CMP014,SEL012,ORD00018,11160.9,INR,DemoGateway,1.0,,GTX000018,,,,,,,,,,,,
PE000071,payment_captured,2026-08-02 08:43:23,PAY00018,CMP014,SEL012,ORD00018,11160.9,INR,DemoGateway,1.0,,GTX000018,11160.9,,,,,,,,,,,
PE000072,revenue_recognized,2026-08-02 09:35:23,PAY00018,CMP014,SEL012,ORD00018,892.87,INR,DemoGateway,1.0,,,,REV00018,892.87,platform_fee,,,,,,,,
PE000073,payment_initiated,2026-08-02 15:08:00,PAY00019,CMP004,SEL008,ORD00019,5969.91,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000074,payment_authorized,2026-08-02 15:08:34,PAY00019,CMP004,SEL008,ORD00019,5969.91,INR,DemoPay,1.0,,GTX000019,,,,,,,,,,,,
PE000075,payment_captured,2026-08-02 15:09:10,PAY00019,CMP004,SEL008,ORD00019,5969.91,INR,DemoPay,1.0,,GTX000019,5969.91,,,,,,,,,,,
PE000076,revenue_recognized,2026-08-02 17:01:10,PAY00019,CMP004,SEL008,ORD00019,477.59,INR,DemoPay,1.0,,,,REV00019,477.59,platform_fee,,,,,,,,
PE000077,payment_initiated,2026-08-02 16:53:00,PAY00020,CMP028,SEL018,ORD00020,2688.83,INR,DemoPay,1.0,card,,,,,,,,,,,,,
PE000078,payment_authorized,2026-08-02 16:53:53,PAY00020,CMP028,SEL018,ORD00020,2688.83,INR,DemoPay,1.0,,GTX000020,,,,,,,,,,,,
PE000079,payment_captured,2026-08-02 16:55:46,PAY00020,CMP028,SEL018,ORD00020,2688.83,INR,DemoPay,1.0,,GTX000020,2688.83,,,,,,,,,,,
PE000080,revenue_recognized,2026-08-02 17:26:46,PAY00020,CMP028,SEL018,ORD00020,215.11,INR,DemoPay,1.0,,,,REV00020,215.11,platform_fee,,,,,,,,
PE000081,payment_initiated,2026-08-02 08:24:00,PAY00021,CMP007,SEL013,ORD00021,5368.97,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000082,payment_authorized,2026-08-02 08:24:55,PAY00021,CMP007,SEL013,ORD00021,5368.97,INR,DemoPay,1.0,,GTX000021,,,,,,,,,,,,
PE000083,payment_captured,2026-08-02 08:25:58,PAY00021,CMP007,SEL013,ORD00021,5368.97,INR,DemoPay,1.0,,GTX000021,5368.97,,,,,,,,,,,
PE000084,revenue_recognized,2026-08-02 09:02:58,PAY00021,CMP007,SEL013,ORD00021,429.52,INR,DemoPay,1.0,,,,REV00021,429.52,platform_fee,,,,,,,,
PE000085,payment_initiated,2026-08-02 12:13:00,PAY00022,CMP026,SEL018,ORD00022,5137.73,INR,DemoGateway,1.0,card,,,,,,,,,,,,,
PE000086,payment_authorized,2026-08-02 12:13:39,PAY00022,CMP026,SEL018,ORD00022,5137.73,INR,DemoGateway,1.0,,GTX000022,,,,,,,,,,,,
PE000087,payment_captured,2026-08-02 12:13:51,PAY00022,CMP026,SEL018,ORD00022,5137.73,INR,DemoGateway,1.0,,GTX000022,5137.73,,,,,,,,,,,
PE000088,revenue_recognized,2026-08-02 13:49:51,PAY00022,CMP026,SEL018,ORD00022,411.02,INR,DemoGateway,1.0,,,,REV00022,411.02,platform_fee,,,,,,,,
PE000089,payment_initiated,2026-08-02 16:05:00,PAY00023,CMP016,SEL017,ORD00023,2836.67,INR,DemoPay,1.0,card,,,,,,,,,,,,,
PE000090,payment_failed,2026-08-02 16:05:18,PAY00023,CMP016,SEL017,ORD00023,2836.67,INR,DemoPay,1.0,,,,,,,,,,INSUFFICIENT_FUNDS,demo_failure,,,
PE000091,payment_initiated,2026-08-02 17:15:00,PAY00024,CMP028,SEL008,ORD00024,4317.34,INR,DemoGateway,1.0,netbanking,,,,,,,,,,,,,
PE000092,payment_authorized,2026-08-02 17:15:44,PAY00024,CMP028,SEL008,ORD00024,4317.34,INR,DemoGateway,1.0,,GTX000024,,,,,,,,,,,,
PE000093,payment_captured,2026-08-02 17:15:59,PAY00024,CMP028,SEL008,ORD00024,4317.34,INR,DemoGateway,1.0,,GTX000024,4317.34,,,,,,,,,,,
PE000094,revenue_recognized,2026-08-02 18:09:59,PAY00024,CMP028,SEL008,ORD00024,345.39,INR,DemoGateway,1.0,,,,REV00024,345.39,platform_fee,,,,,,,,
PE000095,payment_initiated,2026-08-02 13:15:00,PAY00025,CMP011,SEL009,ORD00025,17238.56,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000096,payment_authorized,2026-08-02 13:15:47,PAY00025,CMP011,SEL009,ORD00025,17238.56,INR,DemoPay,1.0,,GTX000025,,,,,,,,,,,,
PE000097,payment_captured,2026-08-02 13:17:14,PAY00025,CMP011,SEL009,ORD00025,17238.56,INR,DemoPay,1.0,,GTX000025,17238.56,,,,,,,,,,,
PE000098,revenue_recognized,2026-08-02 13:56:14,PAY00025,CMP011,SEL009,ORD00025,1379.08,INR,DemoPay,1.0,,,,REV00025,1379.08,platform_fee,,,,,,,,
PE000099,payment_initiated,2026-08-02 17:06:00,PAY00026,CMP030,SEL003,ORD00026,12269.71,INR,DemoPay,1.0,card,,,,,,,,,,,,,
PE000100,payment_authorized,2026-08-02 17:06:37,PAY00026,CMP030,SEL003,ORD00026,12269.71,INR,DemoPay,1.0,,GTX000026,,,,,,,,,,,,
PE000101,payment_captured,2026-08-02 17:07:15,PAY00026,CMP030,SEL003,ORD00026,12269.71,INR,DemoPay,1.0,,GTX000026,12269.71,,,,,,,,,,,
PE000102,revenue_recognized,2026-08-02 17:24:15,PAY00026,CMP030,SEL003,ORD00026,981.58,INR,DemoPay,1.0,,,,REV00026,981.58,platform_fee,,,,,,,,
PE000103,payment_initiated,2026-08-03 16:45:00,PAY00027,CMP012,SEL010,ORD00027,11797.34,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000104,payment_authorized,2026-08-03 16:45:56,PAY00027,CMP012,SEL010,ORD00027,11797.34,INR,DemoPay,1.0,,GTX000027,,,,,,,,,,,,
PE000105,payment_captured,2026-08-03 16:47:24,PAY00027,CMP012,SEL010,ORD00027,11797.34,INR,DemoPay,1.0,,GTX000027,11797.34,,,,,,,,,,,
PE000106,revenue_recognized,2026-08-03 17:55:24,PAY00027,CMP012,SEL010,ORD00027,943.79,INR,DemoPay,1.0,,,,REV00027,943.79,platform_fee,,,,,,,,
PE000107,payment_refunded,2026-08-06 17:55:24,PAY00027,CMP012,SEL010,ORD00027,10179.08,INR,DemoPay,1.0,,,,,,,REF00027,10179.08,service_issue,,,,,
PE000108,payment_initiated,2026-08-03 09:47:00,PAY00028,CMP029,SEL005,ORD00028,4212.57,INR,DemoGateway,1.0,netbanking,,,,,,,,,,,,,
PE000109,payment_authorized,2026-08-03 09:47:23,PAY00028,CMP029,SEL005,ORD00028,4212.57,INR,DemoGateway,1.0,,GTX000028,,,,,,,,,,,,
PE000110,payment_captured,2026-08-03 09:48:45,PAY00028,CMP029,SEL005,ORD00028,4212.57,INR,DemoGateway,1.0,,GTX000028,4212.57,,,,,,,,,,,
PE000111,revenue_recognized,2026-08-03 10:15:45,PAY00028,CMP029,SEL005,ORD00028,337.01,INR,DemoGateway,1.0,,,,REV00028,337.01,platform_fee,,,,,,,,
PE000112,payment_initiated,2026-08-03 08:05:00,PAY00029,CMP021,SEL009,ORD00029,7401.35,INR,DemoGateway,1.0,netbanking,,,,,,,,,,,,,
PE000113,payment_authorized,2026-08-03 08:05:22,PAY00029,CMP021,SEL009,ORD00029,7401.35,INR,DemoGateway,1.0,,GTX000029,,,,,,,,,,,,
PE000114,payment_captured,2026-08-03 08:05:32,PAY00029,CMP021,SEL009,ORD00029,7401.35,INR,DemoGateway,1.0,,GTX000029,7401.35,,,,,,,,,,,
PE000115,revenue_recognized,2026-08-03 08:06:32,PAY00029,CMP021,SEL009,ORD00029,592.11,INR,DemoGateway,1.0,,,,REV00029,592.11,platform_fee,,,,,,,,
PE000116,payment_initiated,2026-08-03 14:35:00,PAY00030,CMP009,SEL006,ORD00030,14464.49,INR,DemoGateway,1.0,card,,,,,,,,,,,,,
PE000117,payment_authorized,2026-08-03 14:35:49,PAY00030,CMP009,SEL006,ORD00030,14464.49,INR,DemoGateway,1.0,,GTX000030,,,,,,,,,,,,
PE000118,payment_captured,2026-08-03 14:37:49,PAY00030,CMP009,SEL006,ORD00030,14464.49,INR,DemoGateway,1.0,,GTX000030,14464.49,,,,,,,,,,,
PE000119,revenue_recognized,2026-08-03 14:57:49,PAY00030,CMP009,SEL006,ORD00030,1157.16,INR,DemoGateway,1.0,,,,REV00030,1157.16,platform_fee,,,,,,,,
PE000120,payment_initiated,2026-08-03 08:19:00,PAY00031,CMP019,SEL018,ORD00031,11599.99,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000121,payment_authorized,2026-08-03 08:19:55,PAY00031,CMP019,SEL018,ORD00031,11599.99,INR,DemoPay,1.0,,GTX000031,,,,,,,,,,,,
PE000122,payment_captured,2026-08-03 08:21:50,PAY00031,CMP019,SEL018,ORD00031,11599.99,INR,DemoPay,1.0,,GTX000031,11599.99,,,,,,,,,,,
PE000123,revenue_recognized,2026-08-03 08:27:50,PAY00031,CMP019,SEL018,ORD00031,928.0,INR,DemoPay,1.0,,,,REV00031,928.0,platform_fee,,,,,,,,
PE000124,payment_initiated,2026-08-03 14:39:00,PAY00032,CMP008,SEL004,ORD00032,19832.73,INR,DemoGateway,1.0,netbanking,,,,,,,,,,,,,
PE000125,payment_authorized,2026-08-03 14:39:20,PAY00032,CMP008,SEL004,ORD00032,19832.73,INR,DemoGateway,1.0,,GTX000032,,,,,,,,,,,,
PE000126,payment_captured,2026-08-03 14:41:15,PAY00032,CMP008,SEL004,ORD00032,19832.73,INR,DemoGateway,1.0,,GTX000032,19832.73,,,,,,,,,,,
PE000127,revenue_recognized,2026-08-03 15:02:15,PAY00032,CMP008,SEL004,ORD00032,1586.62,INR,DemoGateway,1.0,,,,REV00032,1586.62,platform_fee,,,,,,,,
PE000128,payment_initiated,2026-08-03 13:50:00,PAY00033,CMP029,SEL014,ORD00033,5714.98,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000129,payment_authorized,2026-08-03 13:51:00,PAY00033,CMP029,SEL014,ORD00033,5714.98,INR,DemoPay,1.0,,GTX000033,,,,,,,,,,,,
PE000130,payment_captured,2026-08-03 13:52:39,PAY00033,CMP029,SEL014,ORD00033,5714.98,INR,DemoPay,1.0,,GTX000033,5714.98,,,,,,,,,,,
PE000131,revenue_recognized,2026-08-03 15:36:39,PAY00033,CMP029,SEL014,ORD00033,457.2,INR,DemoPay,1.0,,,,REV00033,457.2,platform_fee,,,,,,,,
PE000132,payment_initiated,2026-08-03 15:14:00,PAY00034,CMP023,SEL004,ORD00034,21995.92,INR,DemoGateway,1.0,card,,,,,,,,,,,,,
PE000133,payment_authorized,2026-08-03 15:14:34,PAY00034,CMP023,SEL004,ORD00034,21995.92,INR,DemoGateway,1.0,,GTX000034,,,,,,,,,,,,
PE000134,payment_captured,2026-08-03 15:15:23,PAY00034,CMP023,SEL004,ORD00034,21995.92,INR,DemoGateway,1.0,,GTX000034,21995.92,,,,,,,,,,,
PE000135,revenue_recognized,2026-08-03 15:55:23,PAY00034,CMP023,SEL004,ORD00034,1759.67,INR,DemoGateway,1.0,,,,REV00034,1759.67,platform_fee,,,,,,,,
PE000136,payment_initiated,2026-08-03 12:55:00,PAY00035,CMP008,SEL001,ORD00035,10863.95,INR,DemoPay,1.0,card,,,,,,,,,,,,,
PE000137,payment_authorized,2026-08-03 12:55:22,PAY00035,CMP008,SEL001,ORD00035,10863.95,INR,DemoPay,1.0,,GTX000035,,,,,,,,,,,,
PE000138,payment_captured,2026-08-03 12:56:11,PAY00035,CMP008,SEL001,ORD00035,10863.95,INR,DemoPay,1.0,,GTX000035,10863.95,,,,,,,,,,,
PE000139,revenue_recognized,2026-08-03 14:19:11,PAY00035,CMP008,SEL001,ORD00035,869.12,INR,DemoPay,1.0,,,,REV00035,869.12,platform_fee,,,,,,,,
PE000140,payment_initiated,2026-08-03 09:56:00,PAY00036,CMP027,SEL018,ORD00036,23572.07,INR,DemoGateway,1.0,upi,,,,,,,,,,,,,
PE000141,payment_authorized,2026-08-03 09:56:21,PAY00036,CMP027,SEL018,ORD00036,23572.07,INR,DemoGateway,1.0,,GTX000036,,,,,,,,,,,,
PE000142,payment_captured,2026-08-03 09:56:30,PAY00036,CMP027,SEL018,ORD00036,23572.07,INR,DemoGateway,1.0,,GTX000036,23572.07,,,,,,,,,,,
PE000143,revenue_recognized,2026-08-03 10:10:30,PAY00036,CMP027,SEL018,ORD00036,1885.77,INR,DemoGateway,1.0,,,,REV00036,1885.77,platform_fee,,,,,,,,
PE000144,payment_initiated,2026-08-03 16:07:00,PAY00037,CMP026,SEL011,ORD00037,15745.91,INR,DemoGateway,1.0,upi,,,,,,,,,,,,,
PE000145,payment_authorized,2026-08-03 16:07:17,PAY00037,CMP026,SEL011,ORD00037,15745.91,INR,DemoGateway,1.0,,GTX000037,,,,,,,,,,,,
PE000146,payment_captured,2026-08-03 16:07:54,PAY00037,CMP026,SEL011,ORD00037,15745.91,INR,DemoGateway,1.0,,GTX000037,15745.91,,,,,,,,,,,
PE000147,revenue_recognized,2026-08-03 16:13:54,PAY00037,CMP026,SEL011,ORD00037,1259.67,INR,DemoGateway,1.0,,,,REV00037,1259.67,platform_fee,,,,,,,,
PE000148,payment_chargeback,2026-08-13 16:13:54,PAY00037,CMP026,SEL011,ORD00037,14866.99,INR,DemoGateway,1.0,,,,,,,,,,,,CB00037,14866.99,duplicate_payment
PE000149,payment_initiated,2026-08-03 18:58:00,PAY00038,CMP024,SEL007,ORD00038,11635.49,INR,DemoGateway,1.0,upi,,,,,,,,,,,,,
PE000150,payment_authorized,2026-08-03 18:58:47,PAY00038,CMP024,SEL007,ORD00038,11635.49,INR,DemoGateway,1.0,,GTX000038,,,,,,,,,,,,
PE000151,payment_captured,2026-08-03 19:00:40,PAY00038,CMP024,SEL007,ORD00038,11635.49,INR,DemoGateway,1.0,,GTX000038,11635.49,,,,,,,,,,,
PE000152,revenue_recognized,2026-08-03 19:16:40,PAY00038,CMP024,SEL007,ORD00038,930.84,INR,DemoGateway,1.0,,,,REV00038,930.84,platform_fee,,,,,,,,
PE000153,payment_initiated,2026-08-03 12:35:00,PAY00039,CMP010,SEL014,ORD00039,10956.41,INR,DemoGateway,1.0,card,,,,,,,,,,,,,
PE000154,payment_authorized,2026-08-03 12:35:47,PAY00039,CMP010,SEL014,ORD00039,10956.41,INR,DemoGateway,1.0,,GTX000039,,,,,,,,,,,,
PE000155,payment_captured,2026-08-03 12:36:40,PAY00039,CMP010,SEL014,ORD00039,10956.41,INR,DemoGateway,1.0,,GTX000039,10956.41,,,,,,,,,,,
PE000156,revenue_recognized,2026-08-03 14:03:40,PAY00039,CMP010,SEL014,ORD00039,876.51,INR,DemoGateway,1.0,,,,REV00039,876.51,platform_fee,,,,,,,,
PE000157,payment_initiated,2026-08-03 08:19:00,PAY00040,CMP019,SEL010,ORD00040,14376.52,INR,DemoGateway,1.0,upi,,,,,,,,,,,,,
PE000158,payment_authorized,2026-08-03 08:19:55,PAY00040,CMP019,SEL010,ORD00040,14376.52,INR,DemoGateway,1.0,,GTX000040,,,,,,,,,,,,
