student_id,college,profile_complete,documents_verified,eligible
S10134,PES University,True,True,False
S10135,Dayananda Sagar College of Engineering,False,True,False
S10136,New Horizon College of Engineering,True,True,True
S10137,BMS Institute of Technology,True,True,True
S10138,RV College of Engineering,True,True,False
S10139,PES University,True,True,True
S10140,CMR Institute of Technology,True,True,True
S10141,New Horizon College of Engineering,True,True,False
S10142,BMS Institute of Technology,False,True,False
S10143,CMR Institute of Technology,True,True,False
S10144,Dayananda Sagar College of Engineering,True,True,True
S10145,CMR Institute of Technology,True,True,True
S10146,PES University,True,False,False
S10147,BMS Institute of Technology,True,True,True
S10148,Dayananda Sagar College of Engineering,True,True,True
S10149,CMR Institute of Technology,True,True,True
S10150,CMR Institute of Technology,True,True,False
S10151,Dayananda Sagar College of Engineering,True,True,False
S10152,Dayananda Sagar College of Engineering,True,True,True
S10153,BMS Institute of Technology,True,True,False
S10154,CMR Institute of Technology,True,True,True
S10155,PES University,True,True,True
S10156,BMS Institute of Technology,True,True,True
S10157,PES University,True,True,True
S10158,RV College of Engineering,True,True,False
S10159,PES University,True,True,True
S10160,Dayananda Sagar College of Engineering,True,True,True
S10161,RV College of Engineering,True,True,False
S10162,PES University,True,True,True
S10163,RV College of Engineering,True,True,True
S10164,BMS Institute of Technology,True,True,True
S10165,New Horizon College of Engineering,True,True,False
S10166,Dayananda Sagar College of Engineering,True,True,False
S10167,BMS Institute of Technology,True,True,True
S10168,New Horizon College of Engineering,True,True,True
S10169,CMR Institute of Technology,True,True,True
S10170,BMS Institute of Technology,True,True,False
S10171,PES University,True,True,False
S10172,Dayananda Sagar College of Engineering,True,True,True
S10173,New Horizon College of Engineering,True,True,True
S10174,RV College of Engineering,True,True,False
S10175,RV College of Engineering,True,True,True
S10176,BMS Institute of Technology,True,True,False
S10177,RV College of Engineering,True,True,False
S10178,Dayananda Sagar College of Engineering,True,True,False
S10179,CMR Institute of Technology,True,True,True
S10180,RV College of Engineering,True,True,False
S10181,Dayananda Sagar College of Engineering,True,True,True
S10182,Dayananda Sagar College of Engineering,False,True,False
S10183,BMS Institute of Technology,True,True,False
S10184,Dayananda Sagar College of Engineering,True,False,False
S10185,New Horizon College of Engineering,True,True,True
S10186,Dayananda Sagar College of Engineering,True,True,True
S10187,BMS Institute of Technology,True,True,True
S10188,CMR Institute of Technology,True,True,True
S10189,BMS Institute of Technology,True,True,True
S10190,Dayananda Sagar College of Engineering,True,True,True
S10191,PES University,True,True,True
S10192,RV College of Engineering,True,True,False
S10193,CMR Institute of Technology,True,True,False
S10194,BMS Institute of Technology,True,True,False
S10195,New Horizon College of Engineering,True,True,False
S10196,RV College of Engineering,True,True,True
S10197,RV College of Engineering,True,True,True
S10198,Dayananda Sagar College of Engineering,True,True,True
S10199,New Horizon College of Engineering,True,True,False
S10200,BMS Institute of Technology,True,False,False
S10201,Dayananda Sagar College of Engineering,True,True,False
S10202,Dayananda Sagar College of Engineering,True,True,False
S10203,CMR Institute of Technology,True,True,True
S10204,New Horizon College of Engineering,True,True,False
S10205,PES University,True,True,True
S10206,PES University,False,True,False
S10207,BMS Institute of Technology,True,True,False
S10208,PES University,True,True,True
S10209,New Horizon College of Engineering,True,True,False
S10210,BMS Institute of Technology,True,True,True
S10211,Dayananda Sagar College of Engineering,True,True,True
S10212,Dayananda Sagar College of Engineering,True,True,True
S10213,CMR Institute of Technology,True,True,False
S10214,PES University,True,True,True
S10215,RV College of Engineering,True,True,True
S10216,Dayananda Sagar College of Engineering,True,True,False
S10217,New Horizon College of Engineering,True,True,True
S10218,Dayananda Sagar College of Engineering,True,True,False
S10219,BMS Institute of Technology,True,False,False
S10220,BMS Institute of Technology,True,True,True
S10221,BMS Institute of Technology,True,True,True
S10222,CMR Institute of Technology,False,True,False
S10223,CMR Institute of Technology,True,True,True
S10224,Dayananda Sagar College of Engineering,True,True,True
S10225,CMR Institute of Technology,True,True,False
S10226,PES University,True,True,True
S10227,RV College of Engineering,True,True,True
S10228,Dayananda Sagar College of Engineering,True,True,True
S10229,Dayananda Sagar College of Engineering,True,True,False
S10230,BMS Institute of Technology,True,True,True
S10231,BMS Institute of Technology,False,True,False
S10232,RV College of Engineering,True,True,False
S10233,PES University,True,True,False
S10234,Dayananda Sagar College of Engineering,True,True,False
S10235,BMS Institute of Technology,True,True,False
S10236,PES University,True,True,False
S10237,New Horizon College of Engineering,True,True,True
S10238,Dayananda Sagar College of Engineering,True,True,True
S10239,New Horizon College of Engineering,True,True,False
S10240,New Horizon College of Engineering,True,True,True
S10241,Dayananda Sagar College of Engineering,True,True,True
S10242,BMS Institute of Technology,True,True,True
S10243,New Horizon College of Engineering,True,True,True
S10244,CMR Institute of Technology,True,True,True
S10245,Dayananda Sagar College of Engineering,True,True,True
S10246,Dayananda Sagar College of Engineering,True,True,False
S10247,New Horizon College of Engineering,True,True,True
S10248,RV College of Engineering,True,True,True
S10249,CMR Institute of Technology,True,True,True
S10250,BMS Institute of Technology,False,True,False
S10251,CMR Institute of Technology,True,True,False
S10252,BMS Institute of Technology,True,True,True
S10253,RV College of Engineering,False,True,False
S10254,RV College of Engineering,False,True,False
S10255,BMS Institute of Technology,True,True,True
S10256,Dayananda Sagar College of Engineering,True,True,True
S10257,BMS Institute of Technology,True,True,True
S10258,Dayananda Sagar College of Engineering,True,True,True
S10259,CMR Institute of Technology,True,True,False
S10260,CMR Institute of Technology,True,False,False
S10261,PES University,False,True,False
S10262,Dayananda Sagar College of Engineering,True,True,False
S10263,RV College of Engineering,True,True,True
S10264,RV College of Engineering,True,True,True
S10265,CMR Institute of Technology,True,False,False
S10266,CMR Institute of Technology,True,True,True
S10267,PES University,False,True,False
S10268,BMS Institute of Technology,True,True,False
S10269,PES University,True,False,False
S10270,RV College of Engineering,False,True,False
S10271,BMS Institute of Technology,True,True,True
S10272,BMS Institute of Technology,True,True,True
S10273,Dayananda Sagar College of Engineering,True,True,True
S10274,Dayananda Sagar College of Engineering,True,True,True
S10275,RV College of Engineering,True,True,True
S10276,Dayananda Sagar College of Engineering,True,True,True
S10277,Dayananda Sagar College of Engineering,True,True,True
S10278,New Horizon College of Engineering,True,True,True
S10279,BMS Institute of Technology,True,False,False
S10280,PES University,True,True,True
S10281,BMS Institute of Technology,True,True,True
S10282,RV College of Engineering,True,True,True
S10283,CMR Institute of Technology,True,True,True
S10284,PES University,True,True,True
S10285,CMR Institute of Technology,True,True,True
S10286,BMS Institute of Technology,True,True,True
S10287,BMS Institute of Technology,True,True,True
S10288,RV College of Engineering,True,True,True
S10289,PES University,True,True,True
S10290,RV College of Engineering,True,False,False
S10291,PES University,True,True,False
S10292,New Horizon College of Engineering,True,True,False
S10293,BMS Institute of Technology,True,True,False
S10294,New Horizon College of Engineering,True,True,False
S10295,PES University,True,True,True
S10296,New Horizon College of Engineering,True,True,False
S10297,PES University,False,True,False
S10298,RV College of Engineering,True,True,False
S10299,Dayananda Sagar College of Engineering,True,True,True
S10300,RV College of Engineering,True,True,False
S10301,BMS Institute of Technology,True,True,True
S10302,New Horizon College of Engineering,True,True,False
S10303,PES University,True,True,False
S10304,CMR Institute of Technology,False,True,False
S10305,CMR Institute of Technology,True,True,True
S10306,CMR Institute of Technology,True,True,True
S10307,CMR Institute of Technology,True,True,True
S10308,PES University,True,True,False
S10309,Dayananda Sagar College of Engineering,True,True,True
S10310,Dayananda Sagar College of Engineering,True,True,True
S10311,Dayananda Sagar College of Engineering,True,True,True
S10312,Dayananda Sagar College of Engineering,False,True,False
S10313,PES University,True,True,False
S10314,PES University,True,True,True
S10315,BMS Institute of Technology,True,False,False
S10316,RV College of Engineering,True,True,True
S10317,Dayananda Sagar College of Engineering,True,True,True
S10318,CMR Institute of Technology,True,True,False
S10319,BMS Institute of Technology,False,True,False
S10320,BMS Institute of Technology,True,True,True
S10321,BMS Institute of Technology,True,True,True
S10322,New Horizon College of Engineering,True,True,False
S10323,RV College of Engineering,False,True,False
S10324,PES University,True,True,False
S10325,New Horizon College of Engineering,False,False,False
S10326,BMS Institute of Technology,True,True,True
S10327,PES University,True,True,False
S10328,New Horizon College of Engineering,True,True,False
S10329,RV College of Engineering,True,True,True
S10330,CMR Institute of Technology,True,True,True
S10331,BMS Institute of Technology,True,False,False
S10332,Dayananda Sagar College of Engineering,True,True,False
S10333,RV College of Engineering,True,False,False
S10334,New Horizon College of Engineering,True,True,False
S10335,PES University,True,True,True
S10336,BMS Institute of Technology,True,False,False
S10337,PES University,True,False,False
S10338,Dayananda Sagar College of Engineering,True,False,False
S10339,New Horizon College of Engineering,True,True,False
S10340,RV College of Engineering,True,True,False
S10341,CMR Institute of Technology,True,True,False
S10342,New Horizon College of Engineering,True,True,True
S10343,CMR Institute of Technology,True,True,False
S10344,CMR Institute of Technology,True,True,False
S10345,New Horizon College of Engineering,False,True,False
S10346,BMS Institute of Technology,True,True,False
S10347,CMR Institute of Technology,True,True,False
S10348,Dayananda Sagar College of Engineering,True,True,True
S10349,New Horizon College of Engineering,True,True,True
S10350,PES University,True,True,True
S10351,Dayananda Sagar College of Engineering,True,True,False
S10352,CMR Institute of Technology,True,True,True
S10353,BMS Institute of Technology,True,False,False
S10354,RV College of Engineering,True,True,True
S10355,PES University,True,False,False
S10356,BMS Institute of Technology,True,True,False
S10357,CMR Institute of Technology,True,True,True
S10358,New Horizon College of Engineering,True,True,False
S10359,BMS Institute of Technology,True,True,True
S10360,Dayananda Sagar College of Engineering,False,True,False
S10361,New Horizon College of Engineering,True,True,False
S10362,Dayananda Sagar College of Engineering,True,False,False
S10363,BMS Institute of Technology,True,True,True
S10364,Dayananda Sagar College of Engineering,True,True,False
S10365,New Horizon College of Engineering,True,True,True
S10366,PES University,True,True,True
S10367,RV College of Engineering,True,True,True
S10368,RV College of Engineering,True,True,False
S10369,New Horizon College of Engineering,True,False,False
S10370,Dayananda Sagar College of Engineering,True,True,True
S10371,BMS Institute of Technology,True,True,True
S10372,Dayananda Sagar College of Engineering,False,False,False
S10373,New Horizon College of Engineering,True,True,True
S10374,PES University,True,True,True
S10375,BMS Institute of Technology,True,True,True
S10376,Dayananda Sagar College of Engineering,True,True,False
S10377,Dayananda Sagar College of Engineering,True,False,False
S10378,Dayananda Sagar College of Engineering,True,True,True
S10379,PES University,True,True,False
S10380,PES University,True,True,False
S10381,RV College of Engineering,True,False,False
S10382,PES University,True,False,False
S10383,New Horizon College of Engineering,True,True,True
S10384,CMR Institute of Technology,True,True,True
S10385,PES University,True,True,True
S10386,New Horizon College of Engineering,True,True,False
S10387,PES University,True,True,False
S10388,BMS Institute of Technology,True,True,False
S10389,CMR Institute of Technology,True,True,True
S10390,Dayananda Sagar College of Engineering,True,True,True
S10391,CMR Institute of Technology,True,True,True
S10392,PES University,True,True,True
S10393,PES University,True,True,True
S10394,BMS Institute of Technology,True,True,True
S10395,Dayananda Sagar College of Engineering,True,True,False
S10396,BMS Institute of Technology,True,True,True
S10397,BMS Institute of Technology,True,True,False
S10398,PES University,True,True,True
S10399,Dayananda Sagar College of Engineering,True,True,True
S10400,RV College of Engineering,True,False,False
S10401,RV College of Engineering,False,True,False
S10402,CMR Institute of Technology,True,True,True
S10403,New Horizon College of Engineering,True,True,True
S10404,New Horizon College of Engineering,True,False,False
S10405,BMS Institute of Technology,True,True,True
S10406,PES University,False,True,False
S10407,BMS Institute of Technology,True,False,False
S10408,New Horizon College of Engineering,True,True,True
S10409,Dayananda Sagar College of Engineering,True,True,False
S10410,PES University,True,True,True
S10411,RV College of Engineering,True,False,False
S10412,Dayananda Sagar College of Engineering,True,True,True
S10413,BMS Institute of Technology,True,True,True
S10414,Dayananda Sagar College of Engineering,False,False,False
S10415,PES University,True,True,True
S10416,CMR Institute of Technology,True,True,False
S10417,BMS Institute of Technology,True,True,True
S10418,PES University,True,True,True
S10419,PES University,True,True,False
S10420,CMR Institute of Technology,True,True,True
S10421,CMR Institute of Technology,True,True,True
S10422,PES University,True,False,False
S10423,CMR Institute of Technology,True,True,True
S10424,CMR Institute of Technology,True,True,True
S10425,Dayananda Sagar College of Engineering,True,True,False
S10426,CMR Institute of Technology,True,True,True
S10427,Dayananda Sagar College of Engineering,True,True,True
S10428,BMS Institute of Technology,True,True,True
S10429,PES University,True,True,True
S10430,Dayananda Sagar College of Engineering,True,True,True
S10431,RV College of Engineering,True,True,True
S10432,BMS Institute of Technology,True,True,False
S10433,Dayananda Sagar College of Engineering,False,True,False
S10434,CMR Institute of Technology,False,True,False
S10435,New Horizon College of Engineering,True,True,True
S10436,CMR Institute of Technology,True,True,False
S10437,CMR Institute of Technology,True,False,False
S10438,Dayananda Sagar College of Engineering,False,True,False
S10439,Dayananda Sagar College of Engineering,True,True,False
S10440,RV College of Engineering,True,True,True
S10441,New Horizon College of Engineering,True,True,False
S10442,New Horizon College of Engineering,False,True,False
S10443,New Horizon College of Engineering,True,True,False
S10444,Dayananda Sagar College of Engineering,True,True,False
S10445,CMR Institute of Technology,True,True,False
S10446,RV College of Engineering,True,True,True
S10447,CMR Institute of Technology,True,True,True
S10448,CMR Institute of Technology,True,True,False
S10449,Dayananda Sagar College of Engineering,True,True,False
S10450,BMS Institute of Technology,True,True,True
S10451,CMR Institute of Technology,True,True,False
S10452,New Horizon College of Engineering,False,True,False
S10453,BMS Institute of Technology,True,True,False
S10454,Dayananda Sagar College of Engineering,True,True,False
S10455,BMS Institute of Technology,True,True,False
S10456,RV College of Engineering,True,True,False
S10457,BMS Institute of Technology,True,True,True
S10458,CMR Institute of Technology,True,True,False
S10459,PES University,True,True,True
S10460,PES University,True,False,False
S10461,CMR Institute of Technology,True,False,False
S10462,PES University,True,True,True
S10463,CMR Institute of Technology,True,True,False
S10464,New Horizon College of Engineering,True,True,True
S10465,Dayananda Sagar College of Engineering,True,True,True
S10466,Dayananda Sagar College of Engineering,True,True,True
S10467,New Horizon College of Engineering,True,True,True
S10468,BMS Institute of Technology,True,True,True
S10469,Dayananda Sagar College of Engineering,True,True,False
S10470,PES University,True,True,True
S10471,PES University,True,True,False
S10472,CMR Institute of Technology,True,True,False
S10473,CMR Institute of Technology,True,True,True
S10474,BMS Institute of Technology,True,True,True
S10475,Dayananda Sagar College of Engineering,True,False,False
S10476,New Horizon College of Engineering,True,True,True
S10477,RV College of Engineering,True,True,True
S10478,Dayananda Sagar College of Engineering,True,True,False
S10479,PES University,True,False,False
S10480,PES University,True,True,False
S10481,RV College of Engineering,True,True,True
S10482,PES University,True,True,True
S10483,Dayananda Sagar College of Engineering,True,True,False
S10484,New Horizon College of Engineering,True,True,True
S10485,BMS Institute of Technology,False,False,False
S10486,PES University,True,True,True
S10487,Dayananda Sagar College of Engineering,True,True,True
S10488,CMR Institute of Technology,True,True,True
S10489,RV College of Engineering,True,True,False
S10490,Dayananda Sagar College of Engineering,True,True,True
S10491,Dayananda Sagar College of Engineering,False,True,False
S10492,Dayananda Sagar College of Engineering,True,True,False
S10493,BMS Institute of Technology,True,True,True
S10494,RV College of Engineering,True,True,True
S10495,New Horizon College of Engineering,True,True,True
S10496,New Horizon College of Engineering,True,True,True
S10497,New Horizon College of Engineering,True,True,True
S10498,New Horizon College of Engineering,True,True,True
S10499,CMR Institute of Technology,True,True,False
S10500,RV College of Engineering,True,True,True
S10501,CMR Institute of Technology,True,False,False
S10502,CMR Institute of Technology,True,True,False
S10503,PES University,True,True,True
S10504,BMS Institute of Technology,True,False,False
S10505,PES University,True,True,True
S10506,CMR Institute of Technology,True,True,True
S10507,New Horizon College of Engineering,True,True,True
S10508,CMR Institute of Technology,True,False,False
S10509,Dayananda Sagar College of Engineering,False,True,False
S10510,CMR Institute of Technology,True,True,False
S10511,BMS Institute of Technology,True,True,True
S10512,Dayananda Sagar College of Engineering,True,True,False
S10513,BMS Institute of Technology,True,True,True
S10514,Dayananda Sagar College of Engineering,True,True,True
S10515,PES University,True,True,True
S10516,RV College of Engineering,True,True,True
S10517,Dayananda Sagar College of Engineering,True,True,True
S10518,New Horizon College of Engineering,True,True,True
S10519,RV College of Engineering,True,True,True
S10520,CMR Institute of Technology,True,True,False
S10521,CMR Institute of Technology,True,True,False
S10522,New Horizon College of Engineering,True,True,False
S10523,Dayananda Sagar College of Engineering,True,True,False
S10524,New Horizon College of Engineering,True,False,False
S10525,Dayananda Sagar College of Engineering,True,True,False
S10526,Dayananda Sagar College of Engineering,False,True,False
S10527,RV College of Engineering,True,True,True
S10528,CMR Institute of Technology,True,True,False
S10529,BMS Institute of Technology,False,True,False
S10530,New Horizon College of Engineering,True,True,True
S10531,RV College of Engineering,True,True,True
S10532,BMS Institute of Technology,True,True,True
S10533,New Horizon College of Engineering,True,True,True
S10534,New Horizon College of Engineering,True,False,False
S10535,PES University,True,True,True
S10536,PES University,True,True,False
S10537,PES University,True,True,False
S10538,BMS Institute of Technology,True,True,True
S10539,Dayananda Sagar College of Engineering,True,True,True
S10540,RV College of Engineering,True,True,True
S10541,Dayananda Sagar College of Engineering,True,True,False
S10542,Dayananda Sagar College of Engineering,False,True,False
S10543,CMR Institute of Technology,True,True,False
S10544,RV College of Engineering,True,True,False
S10545,BMS Institute of Technology,True,True,True
S10546,New Horizon College of Engineering,False,True,False
S10547,BMS Institute of Technology,True,False,False
S10548,BMS Institute of Technology,True,True,False
S10549,RV College of Engineering,False,True,False
S10550,Dayananda Sagar College of Engineering,True,True,True
S10551,CMR Institute of Technology,True,True,True
S10552,CMR Institute of Technology,True,True,True
S10553,CMR Institute of Technology,False,True,False
S10554,Dayananda Sagar College of Engineering,True,True,True
S10555,CMR Institute of Technology,False,True,False
S10556,PES University,True,False,False
S10557,CMR Institute of Technology,True,True,True
S10558,New Horizon College of Engineering,True,True,True
S10559,New Horizon College of Engineering,True,True,True
S10560,PES University,False,True,False
S10561,New Horizon College of Engineering,True,True,True
S10562,PES University,True,True,True
S10563,CMR Institute of Technology,True,True,True
S10564,BMS Institute of Technology,True,True,True
S10565,RV College of Engineering,True,True,True
S10566,Dayananda Sagar College of Engineering,True,True,True
S10567,RV College of Engineering,True,True,False
S10568,RV College of Engineering,True,True,True
S10569,BMS Institute of Technology,True,True,True
S10570,BMS Institute of Technology,True,True,True
S10571,RV College of Engineering,True,True,True
S10572,BMS Institute of Technology,True,True,True
S10573,BMS Institute of Technology,False,True,False
S10574,BMS Institute of Technology,True,True,True
S10575,RV College of Engineering,True,True,True
S10576,Dayananda Sagar College of Engineering,True,True,True
S10577,CMR Institute of Technology,True,True,True
S10578,New Horizon College of Engineering,True,True,True
S10579,BMS Institute of Technology,True,True,True
S10580,RV College of Engineering,True,True,True
S10581,PES University,True,True,False
S10582,BMS Institute of Technology,True,True,True
S10583,RV College of Engineering,True,True,True
S10584,BMS Institute of Technology,True,False,False
S10585,BMS Institute of Technology,False,True,False
S10586,PES University,True,True,True
S10587,Dayananda Sagar College of Engineering,True,True,True
S10588,PES University,True,True,True
S10589,CMR Institute of Technology,True,True,True
S10590,Dayananda Sagar College of Engineering,True,True,True
S10591,CMR Institute of Technology,False,True,False
S10592,BMS Institute of Technology,True,True,False
S10593,Dayananda Sagar College of Engineering,False,True,False
S10594,Dayananda Sagar College of Engineering,True,True,True
S10595,CMR Institute of Technology,True,True,True
S10596,BMS Institute of Technology,True,True,True
S10597,CMR Institute of Technology,False,True,False
S10598,RV College of Engineering,True,True,True
S10599,BMS Institute of Technology,True,True,True
S10600,PES University,True,True,True
S10601,BMS Institute of Technology,True,True,False
S10602,Dayananda Sagar College of Engineering,True,True,False
S10603,BMS Institute of Technology,True,True,True
S10604,Dayananda Sagar College of Engineering,True,True,False
S10605,CMR Institute of Technology,False,True,False
S10606,RV College of Engineering,True,True,True
S10607,Dayananda Sagar College of Engineering,True,True,True
S10608,CMR Institute of Technology,False,True,False
S10609,RV College of Engineering,True,True,True
S10610,New Horizon College of Engineering,True,True,True
S10611,Dayananda Sagar College of Engineering,True,True,False
S10612,Dayananda Sagar College of Engineering,True,True,False
S10613,Dayananda Sagar College of Engineering,False,True,False
S10614,Dayananda Sagar College of Engineering,True,True,True
S10615,CMR Institute of Technology,True,True,True
S10616,Dayananda Sagar College of Engineering,True,True,True
S10617,Dayananda Sagar College of Engineering,True,True,True
S10618,Dayananda Sagar College of Engineering,True,True,True
S10619,New Horizon College of Engineering,True,True,False
S10620,BMS Institute of Technology,True,True,True
S10621,Dayananda Sagar College of Engineering,True,False,False
S10622,CMR Institute of Technology,True,True,False
S10623,CMR Institute of Technology,False,True,False
S10624,RV College of Engineering,True,True,True
S10625,BMS Institute of Technology,True,True,True
S10626,New Horizon College of Engineering,True,True,False
S10627,CMR Institute of Technology,True,True,True
S10628,PES University,True,True,True
S10629,BMS Institute of Technology,True,True,True
S10630,New Horizon College of Engineering,False,True,False
S10631,BMS Institute of Technology,True,True,True
S10632,New Horizon College of Engineering,True,True,True
S10633,Dayananda Sagar College of Engineering,True,True,False
S10634,CMR Institute of Technology,False,True,False
S10635,CMR Institute of Technology,True,True,False
S10636,RV College of Engineering,True,True,True
S10637,BMS Institute of Technology,True,True,True
S10638,CMR Institute of Technology,True,True,True
S10639,New Horizon College of Engineering,True,True,True
S10640,BMS Institute of Technology,False,True,False
S10641,RV College of Engineering,True,True,True
S10642,New Horizon College of Engineering,True,True,False
S10643,RV College of Engineering,True,True,True
S10644,Dayananda Sagar College of Engineering,True,True,False
S10645,New Horizon College of Engineering,True,True,True
S10646,RV College of Engineering,True,True,True
S10647,Dayananda Sagar College of Engineering,True,False,False
S10648,New Horizon College of Engineering,True,True,True
S10649,New Horizon College of Engineering,True,True,False
S10650,RV College of Engineering,True,True,True
S10651,New Horizon College of Engineering,True,True,True
S10652,BMS Institute of Technology,True,True,False
S10653,RV College of Engineering,False,True,False
S10654,RV College of Engineering,True,True,False
S10655,BMS Institute of Technology,True,True,True
S10656,New Horizon College of Engineering,False,True,False
S10657,PES University,False,True,False
S10658,Dayananda Sagar College of Engineering,True,True,True
S10659,PES University,True,True,True
S10660,New Horizon College of Engineering,False,True,False
S10661,PES University,True,True,True
S10662,BMS Institute of Technology,True,True,True
S10663,RV College of Engineering,True,True,True
S10664,New Horizon College of Engineering,True,False,False
S10665,Dayananda Sagar College of Engineering,True,True,True
S10666,Dayananda Sagar College of Engineering,True,True,False
S10667,CMR Institute of Technology,True,True,True
S10668,BMS Institute of Technology,True,False,False
